time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.01	0	0.392813804	3.32012825e-05	8.75763451e-06	0.542784621	-0.00915508972	-0.00127196149	0.151350704	0	32.16989
0.02	0	0.3916793	0.000113317238	1.07676016e-05	0.541388762	-0.0105176749	0.0145552832	0.151430692	0.111755427	28.330839
0.03	0	0.389163152	0.000232587584	3.41273265e-05	0.539447409	-0.0165114343	0.0558714292	0.151657557	0.104872957	26.482046
0.04	0	0.385004805	0.000405681526	0.000106245808	0.536939815	-0.0488354453	0.118597474	0.152067937	0.101328174	22.046617
0.05	0	0.379241001	0.00063904542	0.000242554222	0.534136877	-0.108915659	0.188935535	0.152669592	0.0721140217	30.880067
0.06	0	0.371863111	0.000903735722	0.00041231874	0.531045024	-0.184517738	0.295218204	0.1534095	0.0794325047	27.001425
0.07	0	0.363035555	0.00119211269	0.000608631671	0.527866894	-0.264108296	0.44687769	0.154237907	0.0640557704	22.554512
0.08	0	0.352985195	0.00154332226	0.000842594149	0.524847237	-0.338083381	0.649723727	0.155102492	0.0950122141	26.830704
0.09	0	0.341968958	0.00197673122	0.00110703121	0.522088664	-0.400441465	0.893996041	0.155969476	0.0663296081	22.911301
0.1	0	0.33037851	0.00254634984	0.00135538396	0.518599321	-0.405311146	1.02734942	0.156890586	0.0598911791	23.26627
0.11	0	0.318584123	0.00324391627	0.00160521158	0.515767514	-0.404130056	1.20884477	0.157713696	0.0776213697	22.54526
0.12	0	0.306426175	0.00405238573	0.00190177575	0.513358548	-0.44062543	1.53121676	0.158383132	0.0841714139	27.134034
0.13	0	0.294282705	0.00506535495	0.00217779578	0.511462033	-0.432089587	1.84529583	0.158998167	0.0692485598	22.250781
0.14	0	0.282214492	0.00629227839	0.00241767072	0.509991907	-0.382063831	2.16966763	0.159542936	0.0890793467	23.96445
0.15	0	0.270236224	0.00771425119	0.00265177131	0.508885463	-0.312924169	2.52035519	0.160013336	0.0630074282	22.699502
0.16	0	0.258357511	0.00933699591	0.00285152026	0.508040526	-0.20791951	2.88969074	0.160419049	0.0605721876	26.770511
0.17	0	0.246665939	0.0111498292	0.00300555688	0.50754419	-0.0624130472	3.25590108	0.160776222	0.0735054855	21.972929
0.18	0	0.235222235	0.0130593865	0.00308327901	0.507496821	0.113541954	3.62336384	0.161089856	0.110737711	21.078257
0.19	0	0.223778829	0.0150636726	0.00301369048	0.507490104	0.375602432	4.05873486	0.161338405	0.0601789182	23.687234
0.2	0	0.212777305	0.0171516825	0.00296601659	0.507513026	0.513352443	4.36305575	0.16158917	0.0473199929	22.215351
0.21	0	0.202211141	0.0192745992	0.00283002501	0.508098452	0.674803699	4.67012139	0.16179812	0.0726727587	22.575082
0.22	0	0.191903943	0.0214248817	0.00265213898	0.508698015	0.860922469	4.99724071	0.16196216	0.0958963409	27.004524
0.23	0	0.182029703	0.02345224	0.00239928559	0.509933646	1.00396344	5.33476904	0.162097283	0.0665168565	21.113783
0.24	0	0.172618525	0.0254313073	0.00209932553	0.511566042	1.08736877	5.6394693	0.162210268	0.0496640654	28.434991
0.25	0	0.163742817	0.0274196222	0.00176175166	0.513425994	1.11723644	5.86986508	0.162303995	0.0673702111	22.57892
0.26	0	0.155428923	0.0293546986	0.00139449194	0.515540053	1.09742645	6.04799371	0.162374196	0.0828511559	27.570271
0.27	0	0.147651593	0.0311926663	0.000995621117	0.51772816	1.04158406	6.1792984	0.162420579	0.0713537164	20.56887
0.28	0	0.140415154	0.0329626351	0.000564443694	0.520042498	0.96106513	6.26742169	0.162444856	0.0664754271	20.130648
0.29	0	0.133528038	0.0347047987	6.63463268e-05	0.522209137	0.92005891	6.35581543	0.16244975	0.0468773906	26.372646
0.3	0	0.127089847	0.0364141982	-0.000436658986	0.524463199	0.824495678	6.38438464	0.162439257	0.0475481624	20.757486
0.31	0	0.121052499	0.0380860287	-0.000969271011	0.526686314	0.716655488	6.35869861	0.162413561	0.0618483587	21.136397
0.32	0	0.115157055	0.0397827145	-0.00142358429	0.528467312	0.528984166	6.34040628	0.162379359	0.0447707036	26.616377
0.33	0	0.109582325	0.0413424065	-0.00191816065	0.53019595	0.340068658	6.26592726	0.162330489	0.0858432055	22.161825
0.34	0	0.104396829	0.0427619415	-0.00247245446	0.531765799	0.157569941	6.12253834	0.162263088	0.0689715125	20.861778
0.35	0	0.099627366	0.0440133362	-0.00308491495	0.533187201	-0.0200711055	5.93404915	0.162176926	0.0655621317	20.747022
0.36	0	0.0952583052	0.0450964848	-0.00376259894	0.534343396	-0.181411416	5.71193389	0.162072243	0.0978000665	21.46
0.37	0	0.0912171987	0.0459890414	-0.00451602403	0.535203167	-0.331745664	5.48290834	0.161951884	0.104630652	20.840354
0.38	0	0.0873923807	0.0466352047	-0.00535002458	0.535806784	-0.478298373	5.27133496	0.161817548	0.0774950045	22.491068
0.39	0	0.0836704198	0.0470599032	-0.00626481396	0.536119744	-0.6132497	5.06894553	0.161664801	0.129570959	27.993812
0.4	0	0.0799853944	0.0473521917	-0.00727378867	0.536124413	-0.694689103	4.83955208	0.161480912	0.110425092	20.875055
0.41	0	0.0762083288	0.0475106008	-0.00837353636	0.535984685	-0.725821969	4.60230706	0.161263529	0.125306698	21.746143
0.42	0	0.0721791462	0.0476909736	-0.00950078987	0.535579026	-0.728757607	4.35145365	0.161010632	0.183135779	21.55002
0.43	0	0.0677234823	0.0478315585	-0.0106511229	0.535089782	-0.719307311	4.12919248	0.160727163	0.104314688	21.355954
0.44	0	0.0627963874	0.0480284704	-0.0118103554	0.534412415	-0.654887158	3.88232456	0.160389762	0.161502478	22.707085
0.45	0	0.0573789534	0.048314201	-0.0129694528	0.533509637	-0.553138869	3.59506643	0.159986157	0.139167468	21.670364
0.46	0	0.0513981751	0.0486638079	-0.0140922656	0.532443408	-0.47058234	3.32310179	0.159535857	0.136990704	27.580662
0.47	0	0.0448515144	0.0490461314	-0.0151870317	0.53126036	-0.405380699	3.07207414	0.159035537	0.114223871	21.811222
0.48	0	0.0377772675	0.0495006539	-0.0162387126	0.52996398	-0.329636288	2.83770152	0.158481259	0.143158197	21.704099
0.49	0	0.0304981044	0.0498904698	-0.017104568	0.529200548	-0.435015595	2.55018823	0.15780045	0.112415628	22.785276
0.5	0	0.0231569377	0.0501440837	-0.0178647903	0.529382458	-0.486283985	2.37902844	0.157088029	0.0803226322	21.619972
0.51	0	0.0164684813	0.0502195631	-0.0185623654	0.52984095	-0.513418442	2.25394656	0.156313459	0.121709067	21.350328
0.52	0	0.0128949522	0.0502216845	-0.0191397472	0.531073862	-0.531514422	2.17046337	0.155518339	0.0749938762	21.347578
0.53	0	0.014985107	0.0502081222	-0.0196246947	0.532867163	-0.516066945	2.08826099	0.15473028	0.064598987	26.401345
0.54	0	0.0207507368	0.0501648675	-0.0200454479	0.534976024	-0.42585143	1.99503023	0.153985705	0.127099181	22.291574
0.55	0	0.027657724	0.0500789908	-0.0204123489	0.53721667	-0.269381234	1.91950539	0.153340465	0.117951988	21.396911
0.56	0	0.034685897	0.0499487198	-0.0207219074	0.539348932	-0.073281772	1.86839168	0.152817977	0.116538016	22.244927
0.57	0	0.0413861238	0.0497835081	-0.0209606808	0.541279444	0.128115721	1.80546211	0.152382656	0.0740105541	27.89347
0.58	0	0.0474118123	0.0495617737	-0.0211443349	0.542907453	0.345156843	1.73559278	0.152032966	0.128385792	23.470465
0.59	0	0.0525752283	0.0492652547	-0.0212798816	0.544315427	0.515331386	1.68124961	0.151771084	0.0733869688	21.63453
0.6	0	0.0566337933	0.0489272545	-0.0213730005	0.545349887	0.658696587	1.61164924	0.151562159	0.0995693847	23.028446
0.61	0	0.0594496103	0.0486419743	-0.0214239816	0.545875595	0.739661794	1.50232538	0.151385522	0.108135482	20.460628
0.62	0	0.0609512979	0.0483804504	-0.0214705043	0.545984156	0.811694419	1.40545584	0.151278087	0.118685036	22.547153
0.63	0	0.0611654198	0.0481223182	-0.0214980212	0.545616924	0.841371293	1.29454854	0.151203767	0.0820170929	21.650374
0.64	0	0.0602151414	0.0478239245	-0.0215091736	0.54495143	0.851237623	1.19952212	0.151173338	0.151812829	25.104551
0.65	0	0.0582872105	0.047489185	-0.0215322483	0.544069789	0.863576832	1.14644651	0.151200918	0.106890388	22.067267
0.66	0	0.0556026004	0.0471580904	-0.021573596	0.542901037	0.851328601	1.11357844	0.151263011	0.0958717245	21.622824
0.67	0	0.0524268738	0.0468982805	-0.0216439607	0.541507902	0.842457465	1.08548912	0.15134084	0.109321948	22.193323
0.68	0	0.0490182485	0.0467404838	-0.0217422986	0.539905252	0.843200149	1.04051727	0.151414082	0.13533871	23.573494
0.69	0	0.0455913644	0.0466894145	-0.0218567864	0.538016859	0.837572026	0.977605759	0.151490394	0.144404749	24.012206
0.7	0	0.0423391163	0.0467813104	-0.0219564294	0.535893248	0.801932415	0.865339213	0.151542034	0.0972736211	22.601442
0.71	0	0.0394199283	0.0469688136	-0.022048495	0.533619653	0.766338929	0.747506164	0.151609641	0.14455224	26.87589
0.72	0	0.0369324985	0.0472328284	-0.0221455716	0.531157539	0.72358962	0.631787257	0.15169873	0.158262388	25.216611
0.73	0	0.0349018183	0.0475630869	-0.0222350661	0.528280612	0.652589246	0.506138963	0.151803273	0.183118642	26.348972
0.74	0	0.0335617384	0.0475935975	-0.0222254305	0.526518027	0.484697492	0.503114799	0.151938037	0.131514649	22.703002
0.75	0	0.0328184732	0.047423846	-0.022115258	0.525422959	0.237577695	0.525418847	0.152030156	0.0906716637	23.230821
0.76	0	0.0327889847	0.0471240727	-0.022019807	0.524963283	0.0689328363	0.675859307	0.15218509	0.105383131	21.839931
0.77	0	0.0333613172	0.0467704696	-0.0218788889	0.525411653	-0.0914338512	0.874731366	0.152302659	0.126582478	22.624274
0.78	0	0.0344019239	0.0464980571	-0.0216797844	0.526523149	-0.242927007	1.07621557	0.15236344	0.0926870921	21.371577
0.79	0	0.0357474247	0.0464719398	-0.0214130892	0.52801969	-0.384783389	1.20734673	0.152332737	0.134933337	28.948625
0.8	0	0.037261412	0.0466857683	-0.0211049356	0.529874816	-0.505745862	1.28918564	0.152247504	0.0482855727	22.51381
0.81	0	0.0387165837	0.0471221916	-0.0207272793	0.531847011	-0.642705888	1.32508284	0.152133257	0.140603033	21.096177
0.82	0	0.0399735789	0.0477763553	-0.0202573561	0.533841236	-0.801888124	1.31228414	0.151999807	0.0485938325	21.489236
0.83	0	0.0409841586	0.048654324	-0.0197045622	0.535808449	-0.929896753	1.27372109	0.151877899	0.097886371	21.554866
0.84	0	0.0416003907	0.0497197302	-0.0190807677	0.537364613	-1.04029601	1.24667056	0.151820455	0.133495761	22.793835
0.85	0	0.0418349052	0.0509364196	-0.0184121528	0.538592824	-1.09523768	1.16579742	0.151751363	0.138376075	25.372768
0.86	0	0.0416135284	0.0522842639	-0.0176994212	0.539324109	-1.11536578	1.05331631	0.15170405	0.112117715	22.233287
0.87	0	0.040941819	0.0537675572	-0.0169506466	0.539565308	-1.11042682	0.903951605	0.151672672	0.111758888	20.649889
0.88	0	0.0398767725	0.0553143231	-0.0161867202	0.539376661	-1.06227203	0.736950398	0.151668035	0.117872067	20.307978
0.89	0	0.0384677568	0.0569310519	-0.0154085969	0.538810286	-0.994648737	0.545724972	0.151677961	0.0470049592	22.494697
0.9	0	0.0368258099	0.0585436434	-0.0146161249	0.538095878	-0.891250421	0.341992598	0.15169548	0.105624616	29.650323
0.91	0	0.0350327704	0.0601148644	-0.0137930017	0.537283968	-0.765129579	0.179405156	0.151764654	0.121106546	24.261381
0.92	0	0.0332189686	0.0615847528	-0.0129672385	0.536552757	-0.607939064	0.0485830732	0.151852891	0.101964566	21.931413
0.93	0	0.0315068193	0.0628681229	-0.0121727087	0.53607142	-0.40989107	-0.0505906831	0.151940837	0.15841856	22.679852
0.94	0	0.0299611827	0.0638863317	-0.0114232128	0.5358401	-0.230785927	-0.0913012164	0.152045645	0.120277774	23.754631
0.95	0	0.0286142105	0.0647689426	-0.010788899	0.535382217	0.0524465958	-0.217898145	0.152066613	0.143588137	21.81711
0.96	0	0.0275353564	0.0654688792	-0.0101841894	0.535231007	0.247398867	-0.295480156	0.152108606	0.0649152265	22.880365
0.97	0	0.0267828532	0.0660458389	-0.00962811145	0.535224358	0.420862795	-0.372205974	0.152135916	0.128696859	23.119422
0.98	0	0.0263579823	0.0665772229	-0.00902189887	0.534765028	0.446960421	-0.335964356	0.15228376	0.103792912	22.543886
0.99	0	0.0264236694	0.0670326828	-0.00844257449	0.5344294	0.503091245	-0.30719958	0.152388731	0.0654769525	23.95926
1	0	0.0270200175	0.0673606889	-0.00797436553	0.53452085	0.650840405	-0.170237555	0.152544585	0.0623325465	23.644285
1.01	0	0.0281826044	0.067563146	-0.00759849189	0.535109464	0.724286298	-0.0356586023	0.152626531	0.0838997958	23.090193
1.02	0	0.0297514424	0.0676463249	-0.00728855141	0.535929925	0.777631572	0.0715855155	0.152641132	0.109137111	23.801509
1.03	0	0.031593998	0.0676938083	-0.00703618112	0.536869801	0.806407935	0.144045361	0.152607543	0.0736165381	21.430847
1.04	0	0.033533902	0.0677383977	-0.00686426909	0.537752723	0.817144466	0.15951626	0.152528876	0.098517268	22.567182
1.05	0	0.0354287877	0.0677293476	-0.00681657007	0.538798798	0.850533038	0.140943894	0.152424345	0.151652836	22.601582
1.06	0	0.0371711888	0.067751508	-0.00690388998	0.540040648	0.898816781	0.0867912297	0.152301206	0.0925191168	22.690526
1.07	0	0.0386805232	0.0678129715	-0.00708517216	0.541418444	0.922287812	0.0425966808	0.152205498	0.091310691	20.942854
1.08	0	0.0397736396	0.0679460538	-0.00741268479	0.542795188	0.97275519	-0.0285669943	0.152105607	0.102246023	20.617794
1.09	0	0.0404210358	0.0681980299	-0.00780597202	0.543872113	0.969505293	-0.0648094089	0.152072659	0.0664060873	22.066387
1.1	0	0.0405192896	0.0685466109	-0.00834562457	0.544765037	0.990371448	-0.137822124	0.1520185	0.0814274531	20.93359
1.11	0	0.0401509611	0.0689649718	-0.0089944005	0.545555354	0.974885683	-0.205196998	0.151976044	0.145932593	23.614489
1.12	0	0.0393375685	0.0694772056	-0.00975020763	0.546317619	0.949128336	-0.303742426	0.151905339	0.13329722	21.18778
1.13	0	0.0381022565	0.0700740691	-0.0105994984	0.546974196	0.949796334	-0.36397295	0.151881929	0.167673025	21.595698
1.14	0	0.0365595799	0.0707604518	-0.0115243214	0.547503233	0.961532491	-0.403056028	0.151882669	0.0836729156	22.325082
1.15	0	0.0348485361	0.0715095602	-0.0125110487	0.547986501	0.981096574	-0.437434772	0.151882535	0.126554957	24.453691
1.16	0	0.0331025513	0.0723169496	-0.0135536015	0.548498735	1.0240607	-0.457717526	0.151888782	0.147771661	21.734971
1.17	0	0.031412441	0.0730963837	-0.0145246562	0.548522819	0.920772007	-0.563166067	0.151830306	0.15145548	22.981343
1.18	0	0.0299122713	0.0738089804	-0.0155748971	0.54903903	0.915371145	-0.551023624	0.151864956	0.0753761624	20.968655
1.19	0	0.0287237447	0.0744663366	-0.0166789902	0.549892994	0.953161103	-0.478213827	0.151931348	0.112426205	22.74905
1.2	0	0.0278799598	0.0750938211	-0.017792979	0.550853292	0.989741027	-0.408758494	0.151976843	0.102936023	23.205567
1.21	0	0.0273782878	0.0756725342	-0.0189060992	0.551801825	1.02303714	-0.33303715	0.152021057	0.140069408	23.198788
1.22	0	0.0272157169	0.0762267057	-0.0200150248	0.552704996	1.05689188	-0.258740839	0.15206257	0.171214693	23.132996
1.23	0	0.0273563939	0.0767574938	-0.0210946061	0.553484526	1.07130425	-0.203705918	0.152091123	0.176090305	26.477062
1.24	1	0.372303834	0.0773329191	-0.0221387657	0.553991493	1.06467893	-0.199461775	0.152086133	0.101773188	28.019247
1.25	1	0.371744114	0.0779453297	-0.0231624739	0.554099459	1.06596434	-0.245589588	0.152008856	0.157183713	20.704114
1.26	1	0.370932507	0.0786102855	-0.024140762	0.553616496	1.09115927	-0.354309724	0.151829634	0.111399021	27.688577
1.27	1	0.369506227	0.0791201313	-0.0249778548	0.553245548	1.01865421	-0.233049866	0.15176066	0.14400908	22.909828
1.28	1	0.367219557	0.0794928811	-0.0256668412	0.552799085	0.894540413	0.0263144501	0.151677832	0.09336445	21.29692
1.29	1	0.363839026	0.079759655	-0.0262149095	0.552086652	0.75578725	0.358498172	0.151509825	0.0747991765	22.193907
1.3	1	0.359103601	0.0798788462	-0.0266099485	0.55111473	0.6215257	0.751412913	0.151242013	0.0863893492	22.243125
1.31	1	0.35274975	0.0798547812	-0.0268251928	0.549951096	0.442341426	1.18331879	0.150860205	0.123469349	22.477508
1.32	1	0.344556791	0.0796116269	-0.0268656841	0.548792383	0.319823502	1.61388804	0.150328558	0.0843948609	23.435284
1.33	1	0.334340765	0.0792234402	-0.0267104144	0.547809058	0.166711529	2.06228159	0.149690774	0.142500341	25.00858
1.34	1	0.322052432	0.078740211	-0.0263716229	0.547079621	-0.0140980826	2.48038818	0.148919475	0.0903309924	28.721214
1.35	1	0.3077701	0.0781949762	-0.0258624482	0.546661461	-0.22820118	2.86758329	0.148039203	0.123981611	26.332447
1.36	1	0.29176555	0.0777545353	-0.0252535231	0.54601613	-0.401450588	3.24950134	0.147149504	0.0637544845	22.387805
1.37	1	0.274314936	0.0773817542	-0.0244989136	0.545312548	-0.534020573	3.56190499	0.146167546	0.131317105	22.091245
1.38	1	0.255790062	0.0771102221	-0.0236211105	0.544462002	-0.635906071	3.84259479	0.145159123	0.108436554	22.043493
1.39	1	0.236622473	0.0769786986	-0.0226465067	0.543202611	-0.699391058	4.09927673	0.14416101	0.151159155	22.569674
1.4	1	0.217241783	0.0770836203	-0.0216243318	0.541419294	-0.707583957	4.28490642	0.143130819	0.119089486	22.458065
1.41	1	0.198064494	0.0774475057	-0.0205807191	0.539154866	-0.666531357	4.38151061	0.142050199	0.0949517698	21.962974
1.42	1	0.17949443	0.0780193886	-0.0195450443	0.536490718	-0.553230111	4.40139172	0.140937669	0.0999621245	21.277496
1.43	1	0.161750463	0.0787366426	-0.0184378503	0.533213646	-0.481746713	4.47598757	0.139999048	0.0970761596	23.24643
1.44	1	0.145054743	0.0795095106	-0.0173843332	0.530079053	-0.333711556	4.5223776	0.1390343	0.121464515	29.657794
1.45	1	0.12960746	0.0803581727	-0.016389151	0.527055081	-0.133032422	4.5392771	0.138067264	0.0984255248	23.270341
1.46	1	0.115533869	0.0812596698	-0.0154450223	0.523971335	0.064935401	4.54154625	0.137158528	0.138143473	22.169768
1.47	1	0.102876841	0.0821461485	-0.0145547226	0.520840572	0.262130021	4.55554788	0.136356392	0.115500568	23.498989
1.48	1	0.0916177553	0.0829891141	-0.013742923	0.517635968	0.457193637	4.58288112	0.135673379	0.107538834	31.165059
1.49	1	0.0816364987	0.0836245419	-0.0130301412	0.515446768	0.675315172	4.68882014	0.135075326	0.0693996916	26.388907
1.5	1	0.0730098067	0.0840354776	-0.0124772543	0.513707055	0.98579974	4.81751324	0.134553912	0.072243161	22.343494
1.51	1	0.0655533563	0.0843472985	-0.0120387657	0.512637758	1.25640421	4.99742534	0.134139065	0.0870458259	28.490639
1.52	1	0.0592880604	0.0845707786	-0.0117118857	0.512152434	1.50535683	5.17255053	0.133756534	0.057611876	23.078078
1.53	1	0.0541810985	0.0847123221	-0.0115062731	0.51219724	1.74367057	5.35053236	0.133427472	0.0657280623	22.883522
1.54	1	0.0499649358	0.0848348387	-0.0112739591	0.512260431	1.85791487	5.61654318	0.133330364	0.0429299087	22.134683
1.55	1	0.0467248986	0.0848854127	-0.0111731779	0.512967397	1.98584105	5.81418016	0.133118676	0.0538575738	27.690825
1.56	1	0.0443699451	0.0848892196	-0.0111804187	0.514250833	2.10532113	5.97859341	0.132868362	0.0521908003	23.114026
1.57	1	0.0428679761	0.0848985837	-0.0113096527	0.515916888	2.22154875	6.06637384	0.132544694	0.0834441977	22.697188
