time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.01	0	0.392772597	-3.0069426e-05	-2.33435268e-07	0.542684651	-0.000669024605	0.00964301326	0.151347604	0	0.856861996
0.02	0	0.391640298	-0.000153426754	-7.92190516e-07	0.541078611	-0.00245719502	0.0283601632	0.151444449	0.0314106072	0.592921999
0.03	0	0.389258627	-0.000420071186	-1.70538216e-06	0.53883733	-0.00572817781	0.0572823654	0.151710794	0.0313853004	0.536303
0.04	0	0.385463992	-0.000867563529	-2.93695337e-06	0.536078874	-0.0107602467	0.0988968156	0.152171904	0.0313382457	0.533154001
0.05	0	0.380252862	-0.00152206397	-4.38711684e-06	0.532923455	-0.0177416043	0.156080721	0.152816138	0.0312720128	0.550386001
0.06	0	0.373743853	-0.00239969755	-5.89288344e-06	0.529489498	-0.0267634492	0.231271565	0.153605449	0.0311935725	0.552261998
0.07	0	0.366142227	-0.00350809537	-7.23074631e-06	0.525889261	-0.0378153921	0.325816978	0.154488246	0.0311137998	0.530411002
0.08	0	0.357706363	-0.00484805137	-8.1233429e-06	0.522225079	-0.0507881706	0.439571022	0.155411219	0.0310462936	0.534947001
0.09	0	0.348717084	-0.00641521593	-8.25159238e-06	0.518586766	-0.0654826542	0.570759073	0.156327846	0.0310056286	0.591137999
0.1	0	0.339444965	-0.00819137159	-7.64447776e-06	0.515009819	-0.0808080321	0.713402202	0.157203585	0.0351689386	0.554151004
0.11	0	0.330137082	-0.0101560212	-6.550382e-06	0.511514523	-0.0956719146	0.860774208	0.158015278	0.0368003586	0.594550998
0.12	0	0.321162805	-0.0122286559	9.11848566e-06	0.50770161	-0.119081918	0.906449518	0.158796106	0.0386112704	0.541379995
0.13	0	0.312584361	-0.0144986721	2.3453254e-05	0.504123705	-0.135315737	0.993482839	0.159455355	0.0407153936	0.542005
0.14	0	0.304020959	-0.0168298403	1.22183968e-05	0.500129798	-0.125433376	1.19827469	0.159962654	0.0428489983	0.582905996
0.15	0	0.295912586	-0.0193301571	-1.42262156e-06	0.496398971	-0.121512127	1.36385492	0.16042876	0.0447993248	0.545584
0.16	0	0.288265463	-0.0219686438	-1.80041159e-05	0.492827801	-0.116921609	1.49516986	0.160846901	0.0469462726	0.544085997
0.17	0	0.281067473	-0.0247371099	-3.90014133e-05	0.489407281	-0.111064981	1.59551506	0.161215613	0.0348347391	0.528968994
0.18	0	0.274290827	-0.0276502813	-6.47493623e-05	0.486207351	-0.105787044	1.66978438	0.161535594	0.0365621585	0.53374
0.19	0	0.267886336	-0.0307246436	-9.47343302e-05	0.483300939	-0.10328363	1.72081707	0.161808371	0.0389204128	0.547816002
0.2	0	0.261788905	-0.0339765146	-0.000127715613	0.480757442	-0.105838738	1.75031591	0.162034874	0.0416985985	0.656698998
0.21	0	0.255925244	-0.0374206022	-0.000161765728	0.478639447	-0.115616802	1.75921187	0.162214776	0.0448814238	0.610878997
0.22	0	0.25030501	-0.0410366916	-0.000252552159	0.476747424	-0.0821039481	1.69139124	0.162350511	0.0484623834	0.573523997
0.23	0	0.244385971	-0.0446982375	-0.000274763323	0.474411216	-0.143081902	1.71495794	0.162422444	0.0525888564	0.500449001
0.24	0	0.238501858	-0.048684727	-0.000288779682	0.472969047	-0.196379506	1.71934304	0.162449965	0.0439834574	0.549123004
0.25	0	0.232608628	-0.0529394403	-0.000295209302	0.472246165	-0.254615352	1.70429426	0.16242338	0.0421223362	0.538433
0.26	0	0.226693022	-0.05741165	-0.000289492663	0.472113566	-0.319401406	1.6627187	0.162333832	0.0427406071	0.516807995
0.27	0	0.220772074	-0.0620587723	-0.00026772782	0.472472536	-0.390043489	1.58781067	0.162172539	0.0442281158	0.562129004
0.28	0	0.214886198	-0.0668425939	-0.000226950459	0.473237872	-0.465030974	1.47409978	0.161930969	0.0460968217	0.552669997
0.29	0	0.209089807	-0.0717269674	-0.000164972819	0.474329006	-0.542556892	1.31773455	0.16160107	0.0482100228	0.545801995
0.3	0	0.203442246	-0.0766770586	-8.03140072e-05	0.475666658	-0.620748526	1.1166339	0.161175351	0.0505267682	0.530493999
0.31	0	0.198000083	-0.0816596283	2.79068498e-05	0.477172764	-0.69787186	0.870676797	0.160646826	0.0530282336	0.529627003
0.32	0	0.192782725	-0.0865695509	0.00014802876	0.478238039	-0.767129085	0.585000983	0.160022217	0.055697126	0.511211998
0.33	0	0.18777084	-0.0914759561	0.000241473174	0.479296266	-0.780234147	0.318464321	0.159313857	0.0584105831	0.536671003
0.34	0	0.182992735	-0.0963967494	0.000360211714	0.480485287	-0.825179035	0.00960618966	0.158472824	0.0608648742	0.559627995
0.35	0	0.178479973	-0.101243194	0.000509140778	0.481551873	-0.87997294	-0.338957406	0.157494388	0.0893508347	0.530803001
0.36	0	0.174253829	-0.105950273	0.000693966436	0.482313815	-0.944433203	-0.727497485	0.156369989	0.0927112051	0.517830005
0.37	0	0.17032509	-0.110499446	0.00093670698	0.482685644	-1.02229257	-1.15686915	0.155084796	0.0961989143	0.516911998
0.38	0	0.166673336	-0.11490207	0.00124978408	0.482641303	-1.1176809	-1.61582114	0.153629209	0.0998345812	0.553809004
0.39	0	0.163243568	-0.119185477	0.00164222735	0.482160138	-1.22723796	-2.08626723	0.151998677	0.103599542	0.565057002
0.4	0	0.159965462	-0.123402085	0.00213418796	0.481192596	-1.38314696	-2.55956441	0.150178578	0.107455652	0.519991998
0.41	0	0.156713627	-0.12756974	0.00272107491	0.47983599	-1.55261383	-3.02263161	0.148156568	0.111502022	0.521310001
0.42	0	0.153372136	-0.131754759	0.00342202458	0.478058761	-1.77178352	-3.46830306	0.145917131	0.0874348654	0.529746998
0.43	0	0.14976224	-0.13601302	0.00424116826	0.475921292	-2.03958637	-3.88461153	0.143454312	0.10457489	0.512696999
0.44	0	0.145559912	-0.140324054	0.00516503878	0.473610046	-2.28513579	-4.26025999	0.140768551	0.109301531	0.520581001
0.45	0	0.140379023	-0.144767815	0.00616228696	0.471255865	-2.50201296	-4.55607797	0.137888849	0.114272753	0.518261004
0.46	0	0.133785913	-0.149372631	0.00720569114	0.468950869	-2.67477493	-4.75710005	0.134818744	0.119382338	0.533581995
0.47	0	0.125431764	-0.154053762	0.00816223273	0.466413268	-2.68333273	-4.92815113	0.131485773	0.12463107	0.521419999
0.48	0	0.114688731	-0.158965749	0.00911361592	0.464186619	-2.66867264	-4.95713611	0.128003532	0.130115863	0.540091998
0.49	0	0.101112813	-0.164048961	0.0100357036	0.462216388	-2.59085395	-4.86435006	0.124409846	0.105790513	0.512156999
0.5	0	0.0847334009	-0.169168798	0.0111577161	0.460355567	-2.66105618	-4.86909697	0.12047571	0.0979061133	0.503381001
0.51	0	0.0659677922	-0.174498046	0.0123233263	0.459137923	-2.68402492	-4.79855301	0.11651081	0.0969772133	0.538326
0.52	0	0.0478384991	-0.179881564	0.0135154007	0.458372774	-2.6838106	-4.6770554	0.112956226	0.0578357238	0.540050998
0.53	0	0.0415354604	-0.185270744	0.0147423016	0.457832677	-2.7134971	-4.48308363	0.109969214	0.0571743401	0.529755001
0.54	0	0.0574240396	-0.190589239	0.0159708612	0.457554618	-2.69915333	-4.30271605	0.107289123	0.0515250674	0.542816997
0.55	0	0.08499899	-0.195802749	0.0171905557	0.457441394	-2.66443564	-4.13699251	0.104758698	0.0450091653	0.583055997
0.56	0	0.115065993	-0.20081796	0.0183830158	0.457315955	-2.61254217	-3.93793937	0.103255468	0.0407473426	0.556936
0.57	0	0.142170033	-0.205612924	0.0195373912	0.457095501	-2.54702738	-3.7104107	0.102557137	0.0400864506	0.557911997
0.58	0	0.16479073	-0.210169059	0.0206460273	0.456773844	-2.47778431	-3.49304514	0.102336011	0.0401424782	0.546988005
0.59	0	0.183661475	-0.214510319	0.0216635714	0.456189994	-2.34735942	-3.30778208	0.102497557	0.0426247239	0.524513998
0.6	0	0.200025557	-0.218574847	0.0226360053	0.455484785	-2.26494436	-3.16686765	0.102924344	0.103127136	0.518674999
0.61	0	0.21402265	-0.222388674	0.0235659882	0.454514646	-2.2566934	-3.04283228	0.103499853	0.097877764	0.520820999
0.62	0	0.225216359	-0.225900071	0.0243606566	0.45313821	-2.16444587	-2.94604134	0.104053179	0.0933898212	0.532919999
0.63	0	0.233420788	-0.229227458	0.0251174783	0.451562967	-2.18285646	-2.8917632	0.104484476	0.0900445462	0.540319998
0.64	0	0.238525047	-0.232457367	0.0258197659	0.449670408	-2.2306171	-2.86056011	0.104813444	0.0873183997	0.528130993
0.65	0	0.240625634	-0.235614046	0.0264502786	0.447565662	-2.2321597	-2.8902495	0.10500924	0.0850655996	0.531433005
0.66	0	0.239857068	-0.238815863	0.0270339864	0.445193546	-2.24994632	-2.94236137	0.104781075	0.0831427322	0.515332002
0.67	0	0.236551622	-0.242030422	0.0276192932	0.442689939	-2.36556069	-2.95906342	0.104756423	0.0253645044	0.541629997
0.68	0	0.230474394	-0.245351459	0.0281836303	0.439971547	-2.4929929	-2.94332348	0.104831085	0.0827903928	0.509011006
0.69	0	0.221998282	-0.248805818	0.0287379799	0.437082114	-2.63297126	-2.8930967	0.104967176	0.0836721446	0.506235003
0.7	0	0.20896581	-0.252365566	0.0293681387	0.434344688	-2.86623373	-2.81716479	0.104659075	0.106758871	0.517616005
0.71	0	0.192354725	-0.256070933	0.0300344344	0.432166918	-3.08931807	-2.74115218	0.104334508	0.104820561	0.551672005
0.72	0	0.173581625	-0.259939382	0.0308369817	0.43026115	-3.41428604	-2.69075767	0.104102986	0.1013392	0.532138001
0.73	0	0.154417403	-0.264109669	0.0317001878	0.429286344	-3.68287757	-2.57712787	0.10402337	0.100825585	0.518588997
0.74	0	0.136966781	-0.268514795	0.0325443079	0.42894166	-3.84358598	-2.35869766	0.104132623	0.0631498751	0.530805002
0.75	0	0.125491145	-0.272980785	0.0332840254	0.428990942	-3.92237547	-2.27501758	0.104166266	0.039494424	0.516797001
0.76	0	0.12262662	-0.277673357	0.0341169667	0.429959128	-4.07933386	-2.19531778	0.104229459	0.0250216018	0.547964999
0.77	0	0.128572032	-0.282491893	0.0350361549	0.43168645	-4.25981199	-2.16954933	0.104180931	0.041050004	0.529708996
0.78	0	0.139551772	-0.287346518	0.0360241875	0.433986306	-4.44496218	-2.21257005	0.10481637	0.069457956	0.572292003
0.79	0	0.150482447	-0.292049175	0.0371683915	0.436254703	-4.73856151	-2.24664714	0.106467354	0.0693789238	0.538008004
0.8	0	0.160221258	-0.296725685	0.038361785	0.438960758	-4.97285584	-2.38844786	0.108643396	0.0693535667	0.566498995
0.81	0	0.171004245	-0.301350272	0.0396141122	0.442043455	-5.1853445	-2.64527781	0.109936124	0.0609848446	0.558754
0.82	0	0.1836466	-0.305941901	0.0409189559	0.445338371	-5.34427913	-2.97949352	0.110181547	0.0553926548	0.541004003
0.83	0	0.197333597	-0.310460688	0.0423060261	0.448840421	-5.52661728	-3.42689623	0.109602102	0.0276565926	0.519401001
0.84	0	0.211907161	-0.314893805	0.0437769416	0.452440448	-5.71664652	-3.95819081	0.108581306	0.0371509773	0.525892996
0.85	0	0.224233209	-0.319183592	0.0453359679	0.455907092	-5.88026856	-4.54897672	0.10769975	0.101678087	0.509836005
0.86	0	0.232845477	-0.323367757	0.047008304	0.458961642	-6.08164656	-5.17253803	0.107639175	0.113150343	0.507612996
0.87	0	0.241123322	-0.327451677	0.0487853825	0.461814855	-6.23754509	-5.82112278	0.107463427	0.0952033146	0.536687003
0.88	0	0.250818976	-0.331457777	0.0506849709	0.464371601	-6.37938342	-6.48422054	0.106891337	0.0962462995	0.507368
0.89	0	0.262136678	-0.335403443	0.0527160394	0.46656666	-6.52110818	-7.1455702	0.1059692	0.0931964605	0.601268002
0.9	0	0.271408988	-0.339324533	0.0548858691	0.468188426	-6.7177798	-7.7745722	0.10564721	0.106559264	0.590014002
0.91	0	0.281480738	-0.343281203	0.0572001185	0.469235822	-6.97095348	-8.36381311	0.105273012	0.0929972594	0.602837004
0.92	0	0.291642317	-0.347255845	0.0596408662	0.469916923	-7.19685622	-8.90375382	0.104755612	0.0207722238	0.542110996
0.93	0	0.301598784	-0.351308951	0.0622182165	0.47001592	-7.4724365	-9.37105304	0.104593427	0.0814062771	0.533409002
0.94	0	0.311838131	-0.355402713	0.0648830639	0.469813473	-7.73418369	-9.75352786	0.104608195	0.0817185512	0.582226996
0.95	0	0.322456368	-0.35950885	0.0675034399	0.469096815	-7.90633446	-10.0861072	0.104705384	0.0836014732	0.574922997
0.96	0	0.333295672	-0.363804346	0.0701808913	0.468240789	-8.08535645	-10.295502	0.104845277	0.0852353339	0.583688998
0.97	0	0.344255242	-0.368126498	0.0729601485	0.466830348	-8.30718951	-10.4872657	0.104909435	0.0872869123	0.528229
0.98	0	0.354182046	-0.372746632	0.0757360176	0.465499327	-8.40708166	-10.5148847	0.105074359	0.0903702888	0.572823999
0.99	0	0.364237646	-0.377587235	0.0784716001	0.46416462	-8.39358865	-10.4154849	0.105303143	0.0611290021	0.539627996
1	0	0.370739239	-0.382557446	0.0811238685	0.46272229	-8.27195337	-10.2159193	0.106183565	0.0733068092	0.5513
1.01	0	0.373045091	-0.387588376	0.0836659299	0.461134507	-8.05531745	-9.95203986	0.107648567	0.0602271651	0.589655996
1.02	0	0.374641328	-0.392637281	0.0860934831	0.459429047	-7.76316074	-9.6568675	0.108727795	0.0327616224	0.570056996
1.03	0	0.375913288	-0.39766716	0.0883994623	0.457603596	-7.41716807	-9.35381358	0.109237128	0.0229770741	0.560105
1.04	0	0.374580248	-0.402624203	0.0905689238	0.455618428	-7.03797864	-9.04869932	0.110005922	0.0694252664	0.553076999
1.05	0	0.372672335	-0.40752361	0.0925745751	0.453391029	-6.57394327	-8.75944298	0.110785871	0.0603201363	0.542533999
1.06	0	0.370249175	-0.412334916	0.0944456393	0.451120045	-6.27617068	-8.53307625	0.11130278	0.0584655877	0.561638997
1.07	0	0.366929872	-0.417026036	0.0961990299	0.448802183	-6.05283035	-8.37929205	0.111492199	0.0575267954	0.580786
1.08	0	0.363568206	-0.421608353	0.0978458676	0.446347428	-5.93191712	-8.25683527	0.110849483	0.0570513554	0.547935
1.09	0	0.358351972	-0.426044756	0.0993707109	0.443849483	-5.84440358	-8.21667645	0.10948466	0.0568070587	0.556293002
1.1	0	0.351558372	-0.430280736	0.100767473	0.441212631	-5.80315133	-8.23414749	0.107812948	0.106881998	0.534793005
1.11	0	0.344097754	-0.434325837	0.102002933	0.438296142	-5.74869923	-8.28728258	0.10617382	0.10124009	0.531988
1.12	0	0.336287758	-0.438138412	0.103134004	0.435221714	-5.77150783	-8.36564809	0.105360364	0.111207212	0.575844002
1.13	0	0.330564268	-0.441761364	0.104164786	0.431935347	-5.87527095	-8.44570337	0.105009276	0.10282508	0.571956996
1.14	0	0.326433788	-0.445247324	0.105102891	0.428441119	-6.04782662	-8.51836061	0.104323219	0.0999023553	0.532824997
1.15	0	0.325096577	-0.448652379	0.105927596	0.424577066	-6.224641	-8.5235448	0.103930907	0.0954929108	0.513874002
1.16	0	0.325991905	-0.452044046	0.106660385	0.420340609	-6.40250112	-8.44667979	0.103759345	0.0914230424	0.532651
1.17	0	0.325795668	-0.454830193	0.107353797	0.418122738	-6.13893383	-7.90740021	0.103910072	0.0430100076	0.562356996
1.18	0	0.326741454	-0.45739093	0.10800917	0.415164875	-5.99334483	-7.47178681	0.104183337	0.08012054	0.541025998
