time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.01	0	0.392753166	3.20739302e-05	-2.60804927e-06	0.542714691	0.00120623287	-0.00145716937	0.151328376	0	44.840411
0.02	0	0.391792015	0.00013421837	-1.65711636e-05	0.54105556	0.0183869533	-0.0184230813	0.151399001	0.0681972987	42.217392
0.03	0	0.38965697	0.000286029056	-2.18555178e-05	0.538687452	0.0435158519	-0.0358386352	0.151576888	0.0795684573	34.38178
0.04	0	0.386508264	0.000512604736	-3.79284364e-06	0.53577297	0.0565475968	-0.0299088815	0.151885238	0.117611709	28.162385
0.05	0	0.3813098	0.000734751302	5.76465894e-05	0.532564275	0.0563806389	0.00807327834	0.152442998	0.0951153897	28.277608
0.06	0	0.373461216	0.000828872142	0.000151870789	0.529142019	0.0430766839	0.124281914	0.153275225	0.115982004	29.455746
0.07	0	0.36323785	0.000790021836	0.000280299764	0.525698932	0.0204539097	0.332552564	0.154294388	0.0681025223	30.634197
0.08	0	0.35115643	0.000602569125	0.000457958654	0.522546313	-0.0150542897	0.637732567	0.155374062	0.0804725972	32.356396
0.09	0	0.33755067	0.000403119861	0.000654870416	0.518922288	-0.0287973284	0.803224645	0.156608081	0.0834492011	35.650744
0.1	0	0.322891029	0.000123203783	0.000876011728	0.515907518	-0.0204594688	1.10541751	0.157711653	0.0607388406	37.876271
0.11	0	0.307469651	-9.00211606e-05	0.00109513156	0.513304184	0.0275173793	1.41360332	0.158736649	0.0991172432	37.840512
0.12	0	0.291346801	-0.000202086116	0.00133173775	0.511117114	0.0781880122	1.74337258	0.159659254	0.0957293984	41.009563
0.13	0	0.274297828	-0.000161678065	0.00156376896	0.508764966	0.140540252	2.17176543	0.160417147	0.0720615047	33.156801
0.14	0	0.257789821	0.000147925593	0.00177195197	0.506736767	0.239152714	2.54891902	0.161059513	0.0932535271	35.175183
0.15	0	0.24177914	0.000696179358	0.00198469778	0.505083429	0.33909936	2.9179907	0.1615693	0.077475389	33.473644
