time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.649326739	0.0199568592	-4.09845609e-06	2.72739056e-05	0.542794761	-0.0409466647	0.0387010378	0.30625622	0	0	21.322564
0.02	0.647401315	0.0199694327	-7.69187599e-05	9.57025311e-05	0.541315081	-0.143383366	0.1237773	0.307320881	0.0764732962	0.0537787435	21.043819
0.03	0.643676907	0.0199408583	-0.000256281026	0.000221109722	0.53910333	-0.299063871	0.24687996	0.310271184	0.0516296902	0.0537678792	20.937175
0.04	0.637876221	0.0198338665	-0.000522853792	0.000412331234	0.536280258	-0.501583423	0.423524778	0.315535568	0.0952111844	0.0537558408	18.922413
0.05	0.629840333	0.0195977535	-0.000933750377	0.000663306868	0.533007772	-0.71630784	0.699201867	0.323374951	0.102852191	0.0537453034	17.937934
0.06	0.619619776	0.0191922453	-0.00146187586	0.000951227747	0.529240266	-0.917429004	1.05169448	0.333451804	0.0964909018	0.0537301527	19.422224
0.07	0.607377091	0.0185980467	-0.0020476586	0.00127381084	0.525016808	-1.10039858	1.47321194	0.344740734	0.0520955636	0.0536983993	18.347236
0.08	0.593315004	0.0178389286	-0.00261714516	0.00163266001	0.520489594	-1.26757114	1.97414083	0.35748963	0.088386359	0.0536191864	18.393927
0.09	0.577696124	0.0170034468	-0.00319406044	0.00198866548	0.515859762	-1.34887727	2.5383449	0.369590689	0.076848174	0.0534360448	19.205453
0.1	0.560799181	0.0161414889	-0.0037167021	0.00225542488	0.510905379	-1.289071	3.09781924	0.381350415	0.0547432941	0.0531257954	18.394849
0.11	0.542817642	0.0153879252	-0.00408516088	0.00246250485	0.505960113	-1.18486383	3.66704591	0.391635546	0.0618806159	0.0526975765	16.712159
0.12	0.524009427	0.0148927415	-0.00428193897	0.00273539508	0.500974369	-1.1625995	4.1383486	0.399644381	0.0953562496	0.0520588987	18.6455
0.13	0.5044114	0.0147074757	-0.00428215927	0.00296052303	0.496395848	-1.08997313	4.61625351	0.406055017	0.0759981745	0.0514710844	19.044648
0.14	0.484041617	0.0148602229	-0.00405987855	0.0031217938	0.492160773	-0.972548665	5.09584197	0.410237649	0.068767747	0.0507877649	18.489886
0.15	0.46299229	0.0153919145	-0.00360684108	0.0032506668	0.488287908	-0.845248567	5.552491	0.413386502	0.0448930887	0.0483664286	19.596654
0.16	0.441309998	0.0161896326	-0.00289323973	0.00336308131	0.484463521	-0.725166995	6.05365896	0.415886359	0.0746338468	0.0462109362	16.700321
0.17	0.419169962	0.0173766394	-0.00192839137	0.0033770069	0.48105927	-0.539034869	6.50024228	0.417345138	0.0569850352	0.0438583544	18.49479
0.18	0.396819081	0.018962483	-0.000785534141	0.00327325996	0.47820948	-0.318006712	6.90561521	0.417920654	0.068295428	0.0419263595	18.541177
0.19	0.374555565	0.0209230516	0.000519837046	0.00307109804	0.475972255	-0.100228902	7.26660957	0.417756944	0.0699540257	0.0403615971	17.788193
0.2	0.352560692	0.0230552343	0.00197138215	0.00270700024	0.474072085	0.172132706	7.671772	0.417405219	0.0632782332	0.0391370002	19.420839
0.21	0.331227819	0.0254089996	0.00350084796	0.00216006369	0.472597767	0.457082928	7.94486531	0.416468524	0.0682659492	0.0376516546	18.106109
0.22	0.310760579	0.027942646	0.0050153062	0.0015048497	0.472089911	0.668620368	8.22698199	0.415289585	0.0840299652	0.0370457386	21.130855
0.23	0.291450709	0.0304948533	0.00650358748	0.000829297382	0.472139365	0.749550367	8.44291903	0.413986233	0.0688811915	0.036568344	20.635526
0.24	0.273214884	0.0328097676	0.00817135555	0.000235497624	0.472490172	0.734036447	8.73887162	0.41283788	0.049685733	0.0365630291	18.882616
0.25	0.256169825	0.0349958861	0.00986161958	-0.00043191816	0.473612241	0.70808359	8.9708756	0.41122732	0.0668810962	0.0357586587	19.065112
0.26	0.240384104	0.036963917	0.0115456288	-0.00115209867	0.475435473	0.650194037	9.16201074	0.409644148	0.0600808603	0.0355663529	19.391097
0.27	0.225902194	0.0385923473	0.0132127398	-0.00189737651	0.47770694	0.549364277	9.30358114	0.407918473	0.0827546978	0.0357351314	19.180037
0.28	0.212694472	0.039838619	0.0149393538	-0.00267870397	0.480368459	0.428478087	9.40079246	0.406315342	0.0698274046	0.0362109455	18.909722
0.29	0.200590497	0.0405874401	0.0167326482	-0.0035492239	0.483158621	0.382940113	9.50740909	0.405049678	0.0464983213	0.03681753	17.499956
0.3	0.189602637	0.0409429355	0.0186517238	-0.00442562612	0.486235081	0.279899383	9.52339866	0.403805006	0.0487388508	0.0370599522	18.694382
0.31	0.17970422	0.0409106758	0.0206498916	-0.00530798679	0.489561776	0.155190447	9.47287211	0.402637715	0.0412667317	0.037786385	19.964702
0.32	0.170840293	0.0404984824	0.0226632387	-0.00617958088	0.49314539	0.0157317626	9.38940238	0.401204274	0.0566734143	0.0387836312	16.368227
0.33	0.163027775	0.0397188376	0.0247002337	-0.00704832861	0.496824714	-0.121864842	9.24294662	0.399842912	0.0741100107	0.0398470944	16.305136
0.34	0.156326415	0.0385905289	0.0266976153	-0.0079094145	0.500506748	-0.280776744	9.02176857	0.398514602	0.06434486	0.0411640289	16.911635
0.35	0.150629241	0.0370619901	0.0287466415	-0.00865713178	0.503758227	-0.518960636	8.7944102	0.397248367	0.0487690716	0.0428629657	15.641465
0.36	0.146006119	0.0352705215	0.0306581364	-0.00940152995	0.507012149	-0.703191003	8.52212156	0.395626529	0.0744166676	0.0439970397	19.030716
0.37	0.142433958	0.033273784	0.0324310345	-0.0101506591	0.510162678	-0.89705619	8.22557985	0.394027364	0.0809697351	0.045492392	18.454272
0.38	0.139814973	0.0311252659	0.0340206289	-0.0109071863	0.513169086	-1.09534735	7.94110679	0.392243598	0.070006454	0.0470612792	15.896181
0.39	0.137991122	0.0288697878	0.0354786852	-0.0116900787	0.515844329	-1.27221775	7.6746272	0.390099641	0.0993213348	0.0484029385	16.640138
0.4	0.136765342	0.0265815314	0.0368592778	-0.012518166	0.518130671	-1.39133447	7.40541751	0.387897526	0.0909560531	0.0493407666	17.025448
0.41	0.135871677	0.0243299219	0.0381737099	-0.0133902812	0.520001264	-1.44756236	7.13822668	0.384987132	0.0736361586	0.050061117	16.32912
0.42	0.134998482	0.0221966433	0.0394545572	-0.0142975908	0.521492034	-1.44263641	6.86104766	0.381741041	0.0526963438	0.0505345409	21.274698
