time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.64915639	0.0193651374	-9.02723403e-05	8.45232662e-07	0.542707593	-0.0165929909	0.0381674046	0.306794333	0	0	21.240031
0.02	0.646422296	0.019660847	-0.000344579621	1.64857037e-05	0.541067251	-0.086044882	0.125555949	0.307934534	0.131538479	0.0613228448	21.415636
0.03	0.64158598	0.0199831535	-0.000787807536	5.36780949e-05	0.53869648	-0.190937821	0.250112269	0.309313628	0.0791019113	0.0555342316	20.429147
0.04	0.633930016	0.0212186127	-0.00133412269	0.000120740327	0.535539372	-0.316152687	0.37586578	0.310807461	0.117680645	0.0580949153	17.494931
0.05	0.6234445	0.0234171034	-0.00198689045	0.000230555913	0.531745732	-0.443742645	0.527271879	0.312541352	0.0642235024	0.0512865589	19.126266
0.06	0.608323582	0.0274832015	-0.00278598228	0.000405699625	0.527407543	-0.621360703	0.725454194	0.312968882	0.11062028	0.081021101	19.470699
0.07	0.588802229	0.033175845	-0.00367833645	0.000653938784	0.522641019	-0.849409437	0.98247086	0.311766187	0.0588204582	0.0564338248	19.530866
0.08	0.565142818	0.0397516285	-0.00468471464	0.00100499084	0.51765219	-1.15100298	1.34765443	0.308254822	0.103928736	0.0612087766	20.349093
0.09	0.53790719	0.0476866783	-0.00592168233	0.0014339916	0.512917479	-1.41144965	1.74576296	0.302281156	0.0793831997	0.064255121	18.312051
0.1	0.508030251	0.058118592	-0.00721575034	0.00183751081	0.507998867	-1.57410253	2.08192352	0.294532523	0.0555363634	0.0515276908	19.513273
0.11	0.47664764	0.0707632035	-0.00851798999	0.00226860374	0.5033028	-1.71276032	2.39146677	0.285502047	0.104482512	0.0699960947	19.003706
0.12	0.444888117	0.08437597	-0.00990119518	0.00275406724	0.499067992	-1.83795031	2.72333999	0.276678587	0.11549668	0.111670205	18.983033
0.13	0.413870199	0.0977732343	-0.011241113	0.00330366943	0.494871569	-1.96763725	2.96608602	0.268704368	0.0586505646	0.0721320512	18.755198
0.14	0.384360234	0.111594802	-0.0124885828	0.00381780379	0.491122261	-1.99336887	3.25124954	0.261997845	0.0761221505	0.0505786245	22.020214
0.15	0.356677056	0.124083521	-0.0135954346	0.00430131318	0.487784753	-1.95343016	3.56955297	0.257278828	0.0455704686	0.0741552144	20.84626
0.16	0.33086675	0.134902505	-0.0145048047	0.0046943094	0.484612189	-1.80483529	3.94354889	0.255216343	0.0784011507	0.0619882542	21.737158
0.17	0.306824449	0.142468987	-0.0151605861	0.00507316367	0.48151911	-1.66542647	4.40608654	0.255766389	0.0628337548	0.0595434999	19.908612
0.18	0.284746719	0.147315945	-0.0156165857	0.00531587492	0.478998201	-1.42401785	4.81933413	0.25782683	0.0706298793	0.0531113942	17.315636
0.19	0.264733908	0.150132224	-0.015855838	0.00541359678	0.477026196	-1.11340081	5.187848	0.261359385	0.0459915866	0.043841709	18.796181
0.2	0.246396418	0.151318729	-0.0158734257	0.00538147659	0.475628475	-0.791730942	5.49987673	0.264839387	0.0535994966	0.0645091345	18.574083
0.21	0.229556845	0.150493309	-0.0157415664	0.00515765914	0.474505841	-0.404182559	5.67862196	0.268877743	0.0584829331	0.0654326316	17.417578
0.22	0.214421992	0.14966199	-0.0155020321	0.00483789569	0.474251505	-0.0996842973	5.83460862	0.273005045	0.0689078932	0.0518037534	22.89827
0.23	0.200770301	0.148879599	-0.0151442503	0.00436461269	0.474511835	0.223595656	6.05143479	0.277429057	0.0583368887	0.0449678816	21.491068
0.24	0.189177117	0.147955707	-0.0145979974	0.00391998741	0.475366328	0.349543096	6.1248659	0.281356193	0.0618813556	0.0345876979	25.547281
0.25	0.179683513	0.148452167	-0.013827792	0.00344302774	0.477094042	0.419239263	6.14599343	0.284050217	0.0505361592	0.0363111157	22.956729
0.26	0.1717415	0.149552804	-0.0127538149	0.00306598564	0.479144474	0.337235453	6.21174966	0.28649597	0.0240113335	0.0431074618	19.395474
0.27	0.165302992	0.151665863	-0.0114780628	0.00265970433	0.481921869	0.253303483	6.18844158	0.288063613	0.030728366	0.0342029124	19.697143
0.28	0.159953867	0.154709991	-0.00997922058	0.00222860433	0.485336367	0.151387228	6.09691693	0.288740297	0.0335905209	0.0449046446	19.306558
0.29	0.155720013	0.158163722	-0.00826301357	0.00182329822	0.489223639	0.0143092532	5.96626997	0.288834424	0.0508487213	0.0308104098	17.064811
0.3	0.152488008	0.162183027	-0.00630984518	0.00144789743	0.493453399	-0.142323345	5.77990514	0.288453196	0.0509440233	0.0335447613	19.51164
0.31	0.149680774	0.166177313	-0.00417682223	0.00108831311	0.498014128	-0.298195504	5.54519705	0.287537916	0.0516152682	0.0516071603	19.5113
0.32	0.146219467	0.171245398	-0.00196959344	0.000683382632	0.50270398	-0.390703293	5.34070708	0.287095026	0.0463334027	0.0719950384	18.353237
0.33	0.142253264	0.176820694	0.000333861852	0.000211188823	0.507265588	-0.417748583	4.99295711	0.286703317	0.0644884792	0.046572663	18.697939
0.34	0.137442333	0.182794785	0.00269585948	-0.000274392157	0.511999796	-0.46903844	4.59773368	0.286366812	0.0765166083	0.0623268024	19.891499
0.35	0.13144183	0.187987539	0.00508662177	-0.000774939869	0.51677796	-0.522405647	4.16623932	0.285587396	0.0227220632	0.0661466605	17.873402
0.36	0.12458174	0.192593315	0.00752888726	-0.0012876633	0.52130419	-0.567078197	3.69968262	0.284617317	0.0658628602	0.0448525218	18.341938
0.37	0.116685953	0.195537542	0.0100098988	-0.00170666916	0.525157587	-0.673929433	3.24971097	0.283814621	0.088065809	0.0588428355	17.314919
0.38	0.107923789	0.198158903	0.0123989121	-0.00210775181	0.528559407	-0.772313566	2.80335881	0.283838379	0.0599845515	0.0544965915	20.654315
0.39	0.0989340472	0.200490488	0.014788182	-0.0024755442	0.531324383	-0.875566975	2.37587421	0.283926625	0.0939155712	0.0363456884	19.685525
0.4	0.0899635286	0.203083943	0.0171859542	-0.00280877755	0.533455575	-0.968559843	1.96881976	0.284291773	0.0820148647	0.0419091786	20.084678
0.41	0.0809279448	0.205229329	0.0195503526	-0.00312396613	0.534978613	-1.04716468	1.59491923	0.284909681	0.0586152039	0.0497923474	19.183806
0.42	0.0723046851	0.206001488	0.021867206	-0.0034204846	0.535941845	-1.11176351	1.26551989	0.285322481	0.0390181448	0.0267425704	21.563637
0.43	0.0644312297	0.204357949	0.0241081499	-0.00372216042	0.536400486	-1.15698213	0.988055009	0.284669088	0.085096465	0.0349510901	18.120053
0.44	0.0568943809	0.202574252	0.0262633949	-0.00402616764	0.536383612	-1.17449492	0.751575851	0.284376386	0.085518588	0.0440854553	20.203155
0.45	0.0493732419	0.2012386	0.0283049654	-0.00433806428	0.535925089	-1.17726758	0.553399872	0.284825153	0.0764193932	0.0420964257	20.186549
0.46	0.0419135435	0.199376394	0.0301692527	-0.00466381381	0.535051431	-1.17741748	0.425975913	0.284617441	0.100584758	0.0316703014	19.605081
0.47	0.0345698058	0.195928493	0.031821121	-0.00503985874	0.533909234	-1.15527461	0.357250865	0.284658332	0.122098405	0.0355259711	18.431204
0.48	0.0282485734	0.19217003	0.0332739332	-0.0054754575	0.532501278	-1.10315583	0.351517147	0.284919586	0.100740006	0.00939471586	21.696031
0.49	0.0236114296	0.187964509	0.0343561521	-0.00592899597	0.53190453	-0.981733472	0.473468356	0.284788167	0.070915422	0.0269205997	20.341884
0.5	0.0207358585	0.184606929	0.0351537499	-0.00643281096	0.531760971	-0.790994799	0.631458444	0.284902188	0.0543387428	0.0278631455	20.293068
0.51	0.0212427907	0.18198212	0.0356521604	-0.00694345725	0.531968731	-0.617897594	0.882009627	0.285488188	0.0848719136	0.0224183592	17.990132
0.52	0.0217160438	0.181787385	0.0359026963	-0.0074420661	0.532570262	-0.471167164	1.15677829	0.286453336	0.0618849547	0.0273113815	19.492213
0.53	0.0225711754	0.180658889	0.0359405045	-0.00793218879	0.533572195	-0.340143482	1.40904723	0.286863086	0.0479237952	0.0295003367	20.086579
0.54	0.0225544906	0.180575853	0.0358085243	-0.00835038137	0.534646989	-0.292151541	1.68525778	0.28719379	0.0350290265	0.0147457014	20.589037
0.55	0.0214167596	0.181921485	0.0355074012	-0.00876483409	0.53605851	-0.196900649	1.91547009	0.287387005	0.0279327074	0.0224500177	20.758175
0.56	0.0194294437	0.184581697	0.0350577358	-0.00916119074	0.5376217	-0.101087071	2.08566298	0.287498509	0.0634005673	0.0169072199	18.227908
0.57	0.0177698719	0.187132329	0.0344911102	-0.00951651963	0.53925027	-0.0251064807	2.17862994	0.287294838	0.0367087533	0.0150805641	16.396915
0.58	0.0169257667	0.188918926	0.033933153	-0.00994248526	0.540432849	0.150222503	2.25260509	0.286896525	0.0428588532	0.0114532921	18.882248
0.59	0.0166562525	0.190616253	0.0333171746	-0.0103242746	0.541681443	0.268203365	2.22299783	0.286159992	0.0417370983	0.0172520467	18.974677
0.6	0.0173095124	0.192833882	0.0327541356	-0.0106570945	0.542729551	0.341251041	2.0967391	0.284970488	0.100912343	0.0326362962	19.479189
0.61	0.0193945904	0.195414426	0.0322600012	-0.0109411513	0.543414863	0.377414242	1.90542212	0.283571882	0.0737346974	0.00505518594	18.330105
0.62	0.0229647899	0.197885718	0.0318216718	-0.0111895686	0.543729734	0.384556246	1.69233832	0.281662429	0.0721935321	0.0202641762	20.937799
0.63	0.0275315483	0.200441574	0.031417007	-0.011397925	0.543608187	0.362376157	1.46795957	0.279747132	0.0568997368	0.0160345262	16.811192
0.64	0.0315631509	0.202937463	0.0309607753	-0.0115866446	0.543209322	0.330633058	1.26106375	0.278308162	0.128696133	0.0236345127	17.580687
0.65	0.0344979017	0.203628554	0.0304854666	-0.0117805944	0.542527466	0.313760521	1.07501847	0.276871401	0.111804737	0.0207545519	17.572844
