time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.01	0	0.392835256	3.35586048e-05	4.41737495e-06	0.542774421	-0.0054267311	-0.0087942455	0.306081887	0	21.996039
0.02	0	0.391773908	0.000128620289	-6.67069887e-06	0.541281952	0.000241905182	-0.0220524011	0.306226645	0.0964595942	19.315473
0.03	0	0.389408455	0.000285986244	-1.8327999e-06	0.539132189	0.00596986671	-0.0329369617	0.307139027	0.109255368	19.617959
0.04	0	0.385491767	0.000512064465	4.22968396e-05	0.536312914	-0.00826307203	-0.038472171	0.309107187	0.10051165	20.995831
0.05	0	0.38005538	0.000795904849	0.000144159796	0.533116803	-0.0423191997	-0.0414996774	0.311987704	0.0755179303	19.436624
0.06	0	0.373025127	0.00109398867	0.000279982559	0.529518147	-0.0886085275	0.00505232315	0.316029626	0.0785583978	17.935766
0.07	0	0.3646077	0.00141612261	0.000423533781	0.525796466	-0.131126485	0.092374868	0.32087945	0.063827292	20.307065
0.08	0	0.354994295	0.00177013892	0.000582338729	0.522224719	-0.166071622	0.239805296	0.326183065	0.0895454177	17.975524
0.09	0	0.344420606	0.0021666002	0.000751031432	0.518946416	-0.195342436	0.438902816	0.331179119	0.0774903016	22.053849
0.1	0	0.333398964	0.00267282413	0.000937168485	0.515122222	-0.216756826	0.498465794	0.336261627	0.0556874467	16.80243
0.11	0	0.322100056	0.0032311371	0.00110734736	0.51205087	-0.223140317	0.649783582	0.341073923	0.0793625086	18.951852
0.12	0	0.310570979	0.0038470233	0.00126678475	0.509779759	-0.231302561	0.910495981	0.345624484	0.092540121	19.525662
0.13	0	0.298938269	0.00456247631	0.00140851553	0.508156314	-0.23723712	1.21706915	0.349424189	0.0498062804	18.708143
0.14	0	0.286752596	0.00539782459	0.00150278476	0.506610792	-0.201897338	1.6988444	0.353536951	0.101691824	20.530944
0.15	0	0.274459041	0.00632253368	0.00159850938	0.505799885	-0.171509777	2.19235259	0.357138586	0.0700184012	20.155773
0.16	0	0.26208844	0.00734048138	0.0016647434	0.50560525	-0.116008387	2.71104779	0.360415602	0.0617007385	19.340613
0.17	0	0.249781435	0.00846353645	0.00168946866	0.506024318	-0.0251735568	3.22703479	0.363313516	0.0603481749	19.357026
0.18	0	0.237721635	0.00967463124	0.00164695432	0.506995929	0.0895661926	3.70739544	0.365441648	0.0906118287	20.579541
0.19	0	0.226243145	0.0109417726	0.00157953912	0.507751578	0.185625792	4.01187868	0.367171209	0.0566449588	19.425762
0.2	0	0.21535022	0.0123022649	0.00145772402	0.50909458	0.277694531	4.34414812	0.36868729	0.0514569841	21.159395
0.21	0	0.205078821	0.0137610788	0.00126340057	0.510795462	0.366336015	4.6544292	0.370033709	0.0681783642	17.303033
0.22	0	0.19541805	0.015253102	0.000996066202	0.512793307	0.448121206	4.94146618	0.37130843	0.0764257624	21.403639
0.23	0	0.185878379	0.0168635853	0.000721482025	0.514406861	0.52186911	5.31387989	0.37323614	0.0803490374	19.785953
0.24	0	0.176833527	0.0184909071	0.00042107187	0.516303355	0.53836568	5.60511292	0.374750335	0.0562627364	18.985658
0.25	0	0.168319909	0.0202165225	0.000112950883	0.518266401	0.513863827	5.7972728	0.375866989	0.0747808598	19.568453
0.26	0	0.160323525	0.0219594667	-0.000204194648	0.520300698	0.45376881	5.92716887	0.376961847	0.0881176857	18.788955
0.27	0	0.152795967	0.0236852722	-0.000535613723	0.522254444	0.369518629	6.00705499	0.37814486	0.0835291825	17.22007
0.28	0	0.145703841	0.0254077485	-0.000879076849	0.524154443	0.258195169	6.04949542	0.379409407	0.0621739594	20.478446
0.29	0	0.13901347	0.0271440049	-0.00123798776	0.525949103	0.148950997	6.05048091	0.380753049	0.0509143812	17.07827
0.3	0	0.132702336	0.0289172472	-0.0016090864	0.527622315	0.0352601993	6.00488324	0.38208029	0.0582650455	17.823666
0.31	0	0.126741367	0.0307011861	-0.00201882335	0.52916272	-0.0634602083	5.91957959	0.383090723	0.0576755327	18.599352
0.32	0	0.121075414	0.0324419095	-0.00246466658	0.530640552	-0.161991225	5.82025656	0.384193334	0.0519712449	20.279906
0.33	0	0.115702035	0.0341311825	-0.00295470381	0.531994813	-0.248342151	5.68580135	0.385336841	0.0932129981	21.88443
0.34	0	0.110604454	0.0357427073	-0.00350871444	0.533168304	-0.31083059	5.52056103	0.386531138	0.0691456143	20.980496
0.35	0	0.105762325	0.0372239819	-0.00412353214	0.534301051	-0.358174977	5.34254535	0.387734466	0.0922806161	19.021883
0.36	0	0.100925273	0.0386631879	-0.00468553011	0.534940849	-0.458610551	5.20799504	0.389234553	0.0591317484	20.365344
0.37	0	0.0962177584	0.0398880799	-0.00531668826	0.535713841	-0.538801506	5.06225065	0.390589071	0.051928425	19.406946
0.38	0	0.0915731673	0.0408845897	-0.00600519958	0.536610778	-0.617587863	4.91820313	0.391827591	0.0502126532	19.030783
0.39	0	0.0869020956	0.0416947915	-0.00674314823	0.5375042	-0.692643654	4.78122763	0.392976637	0.0616263968	18.19474
0.4	0	0.0821480853	0.0423807997	-0.00754374984	0.5383542	-0.747778711	4.63308686	0.393952	0.076750925	19.73771
0.41	0	0.0772459002	0.0429473033	-0.00839022479	0.539120093	-0.781374586	4.47051951	0.394737554	0.101200814	18.810177
0.42	0	0.0721354472	0.0434258444	-0.00926541942	0.539802336	-0.810673991	4.2881892	0.395294268	0.064938688	18.98873
0.43	0	0.0668163938	0.0438372566	-0.0101641198	0.540420876	-0.832265167	4.06232852	0.395542425	0.065786971	16.996334
0.44	0	0.0612537554	0.0442640196	-0.0110825644	0.540716981	-0.817664561	3.81057669	0.395628272	0.0975441372	18.717495
