time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.01	0	0.392918703	3.5945881e-05	-7.03341395e-06	0.542698563	0.00327535335	-0.0413861681	0.151384025	0	45.934382
0.02	0	0.392158993	7.75878387e-05	-3.40316888e-05	0.541170786	0.0091823477	-0.128084338	0.151542841	0.0572600063	21.19764
0.03	0	0.390394222	6.97890273e-05	-3.78150354e-05	0.539176357	-0.0140814772	-0.236417454	0.151867737	0.101706498	20.671931
0.04	0	0.387535293	1.34327636e-05	1.48654392e-05	0.536875012	-0.0887529968	-0.382830298	0.152392115	0.0821827994	20.942829
0.05	0	0.383535946	-0.000171164177	0.000125917823	0.534519812	-0.184126244	-0.52505574	0.153072902	0.0870445618	23.067003
0.06	0	0.378383268	-0.000548421794	0.000273401757	0.532158744	-0.282637141	-0.631948125	0.153861156	0.0777070728	20.935686
0.07	0	0.372182801	-0.00113455073	0.000451367633	0.529967753	-0.378488951	-0.687395279	0.154709508	0.0662401776	30.018868
0.08	0	0.365064597	-0.00192222459	0.000668787939	0.528132431	-0.478659054	-0.673658562	0.155569229	0.0747780472	22.208323
0.09	0	0.357555495	-0.00281736298	0.000917282461	0.526024262	-0.582654574	-0.786718907	0.156530075	0.0836832021	19.952127
0.1	0	0.349621535	-0.00394720639	0.0011864618	0.52460845	-0.662316552	-0.767120504	0.157368607	0.0531615833	29.549225
0.11	0	0.341509943	-0.00519236846	0.00148130482	0.523677742	-0.733420634	-0.720106475	0.15814581	0.076468687	22.084724
0.12	0	0.332786948	-0.00648627102	0.00177799141	0.522630456	-0.775152314	-0.505610172	0.158769409	0.0620988564	21.243783
0.13	0	0.324099454	-0.00780236088	0.00208036516	0.522036235	-0.793203124	-0.353575621	0.159387214	0.0694175895	21.17823
0.14	0	0.315509499	-0.00911555313	0.00238178227	0.521751612	-0.779872956	-0.228181316	0.159957349	0.0595409521	20.083056
0.15	0	0.307038033	-0.0104304362	0.00270623422	0.521672115	-0.7568684	-0.103760299	0.160460218	0.0587278512	27.246548
0.16	0	0.298675765	-0.0117065672	0.00302541775	0.521668555	-0.70425918	0.0254334201	0.160892859	0.0689574786	26.367021
0.17	0	0.290450122	-0.0129232391	0.00333074118	0.521775807	-0.62004431	0.149266324	0.161263902	0.0554710975	20.78479
0.18	0	0.282364744	-0.014116138	0.00360312153	0.522066182	-0.514074264	0.2705037	0.161578572	0.0631904699	20.857252
0.19	0	0.274424358	-0.0152688395	0.00384147684	0.522506463	-0.39978693	0.372125067	0.16184418	0.0557127143	19.632968
0.2	0	0.2666966	-0.0163387914	0.00413480087	0.522679437	-0.384424815	0.386710509	0.162070895	0.0633819388	19.898481
0.21	0	0.259125828	-0.0173910049	0.00438375714	0.523143362	-0.342917152	0.420949729	0.162238846	0.0645760162	19.841456
0.22	0	0.251625519	-0.0184399592	0.00457323551	0.523861674	-0.277994513	0.477098821	0.162354942	0.0646875809	25.478488
0.23	0	0.243828542	-0.0194125911	0.00473817255	0.52430092	-0.2007796	0.642788694	0.162418824	0.0742294609	23.154045
0.24	0	0.236038947	-0.0203717467	0.00479911256	0.524771011	-0.104031439	0.697346144	0.16244937	0.0679487366	21.485295
0.25	0	0.228269697	-0.0212722837	0.0048510047	0.525528511	-0.0807655849	0.717293884	0.162432435	0.0661473411	21.729905
0.26	0	0.220523684	-0.0221200575	0.00487531629	0.526447264	-0.0861971525	0.71618737	0.162364071	0.0582187569	25.333072
0.27	0	0.212819038	-0.0229278043	0.00485275846	0.527347128	-0.109104851	0.690133148	0.162241884	0.0774645949	20.071991
0.28	0	0.205136329	-0.0237138022	0.00478372526	0.5283396	-0.145209356	0.67173625	0.162069012	0.0722303328	18.997811
0.29	0	0.197462091	-0.0244587899	0.00468082921	0.529391692	-0.181122679	0.653705745	0.161845568	0.05733999	18.655949
0.3	0	0.189849789	-0.0250853327	0.00456010441	0.530330902	-0.225714472	0.58346806	0.161560485	0.0769384265	22.323032
0.31	0	0.182320345	-0.0256207443	0.00441508973	0.531222472	-0.267308565	0.481859449	0.161215516	0.057859438	23.08146
0.32	0	0.174809652	-0.0261287569	0.00423177121	0.532088746	-0.277849882	0.401666981	0.160826857	0.0495933388	25.309494
0.33	0	0.167324317	-0.0266031496	0.00402854089	0.532903556	-0.299937253	0.293582551	0.160375542	0.0783144431	23.191333
0.34	0	0.159896045	-0.0270938818	0.00375617997	0.533662232	-0.293235578	0.156040817	0.159856684	0.0835201998	21.562508
0.35	0	0.152487791	-0.0276511846	0.00339851025	0.534426299	-0.262618616	0.0217547603	0.159281824	0.0741979296	21.440666
0.36	0	0.1449283	-0.02814397	0.00308333057	0.534610748	-0.291603734	-0.0635375463	0.158695738	0.091570489	28.081198
0.37	0	0.137267968	-0.0287173836	0.00272256856	0.534748691	-0.29851146	-0.175989283	0.158032009	0.0899266478	21.153393
0.38	0	0.129422695	-0.0294255723	0.00234523719	0.534819871	-0.327761995	-0.262373747	0.15732024	0.0835909574	20.374411
