time_s	goal_index	ee_error_m	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	action_delta_l2	update_ms
0.01	0	0.392633782	2.73781909e-05	-6.16242404e-06	0.542699964	0.00448040221	-0.0147411629	0.306794044	0	23.445909
0.02	0	0.391503298	0.000124660258	-3.41465419e-05	0.540996336	0.0273873895	-0.0601662	0.307669564	0.0709013552	19.872478
0.03	0	0.389172376	0.000282671934	-6.06872071e-05	0.538525071	0.0609399806	-0.12035444	0.309178072	0.0839572543	20.285935
0.04	0	0.385938057	0.000531641891	-7.4270771e-05	0.535419318	0.0892277203	-0.169402677	0.311596384	0.113287831	19.236823
0.05	0	0.380854653	0.000780600711	-5.50282913e-05	0.531917209	0.112404401	-0.191232391	0.315650522	0.0897591605	20.041926
0.06	0	0.373256913	0.000892435965	-1.01581921e-05	0.528059416	0.116224021	-0.119993889	0.321447417	0.118344472	20.269939
0.07	0	0.363458165	0.000878020392	5.23326328e-05	0.524090887	0.115087925	0.041462244	0.328003726	0.0704862441	20.370568
0.08	0	0.351966838	0.000716151846	0.000148467117	0.520345349	0.0983686645	0.293071028	0.334388288	0.083600486	16.884072
0.09	0	0.339229448	0.000531185006	0.00026438639	0.516131884	0.088472327	0.415737215	0.340427167	0.0803117677	19.414551
0.1	0	0.325674491	0.000252128668	0.000383627743	0.512534368	0.101672614	0.683445153	0.346271032	0.0617386447	19.480736
0.11	0	0.311568794	7.67433883e-07	0.000482135795	0.509431391	0.148342623	0.973729113	0.351330647	0.0917942215	19.259281
0.12	0	0.296778556	-0.000238386468	0.000581114818	0.506957258	0.189429796	1.30935415	0.355461736	0.107942192	19.266676
0.13	0	0.281330179	-0.000424271739	0.000653252274	0.505069797	0.250438924	1.64652418	0.359120061	0.0668828205	21.823093
0.14	0	0.265639463	-0.000447984191	0.000703600612	0.503165906	0.320467185	2.11483154	0.363094412	0.0769287997	21.731899
0.15	0	0.249692764	-0.000358145442	0.000751392259	0.50197892	0.383487533	2.56107872	0.365994082	0.0838388096	19.384029
