time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	1	0	0.189019	2.82842712	0	0	0	0.859579075	0	3.76446593e-05	-6.52578558e-06	0.542678993	0.00559086345	-0.0367271089	0.306054374	0	0	43.409975
0.02	1	-1.20024111e-20	0.18932866	2.82842712	-8.48698626e-21	8.48698626e-21	0	0.857520931	0	1.23637838e-05	-3.44326398e-05	0.541104208	0.0160675497	-0.129211916	0.307074004	0.0571304559	0.0961611465	18.939154
0.03	1	-1.50030138e-20	0.189486968	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.854612337	0	-0.000141270786	-4.44270104e-05	0.538969277	0.00702508953	-0.264534745	0.310447588	0.09627444	0.0941870856	18.457486
0.04	1	-6.00120554e-21	0.189610199	2.82842712	-4.24349313e-21	4.24349313e-21	0	0.8506897	0	-0.000435321849	2.64771522e-08	0.536455782	-0.0547102033	-0.4547673	0.316376216	0.082753079	0.0921878173	18.703413
0.05	1	-9.00180831e-21	0.189702446	2.82842712	-6.3652397e-21	6.3652397e-21	0	0.845674259	0	-0.000960865041	0.000110096338	0.533865818	-0.149308156	-0.652277892	0.324837434	0.0821646031	0.0903388995	19.557873
0.06	1	-6.00120554e-21	0.189772407	2.82842712	-4.24349313e-21	4.24349313e-21	0	0.839691875	0	-0.0017681323	0.000263237502	0.531258034	-0.259232334	-0.814592399	0.334870566	0.0731550321	0.0887701284	19.362943
0.07	1	-1.20024111e-20	0.189825691	2.82842712	-8.48698626e-21	8.48698626e-21	0	0.833117848	0	-0.00284738544	0.000454297461	0.528846156	-0.378624186	-0.915124465	0.34718609	0.0744296779	0.0872647012	20.394763
0.08	1	-3.9007836e-20	0.189866386	2.82842712	-2.75827054e-20	2.75827054e-20	0	0.826435205	0	-0.00416200557	0.000689813038	0.526811874	-0.509999524	-0.921740917	0.360240962	0.0768837441	0.0856750481	19.709649
0.09	1	-3.30066305e-20	0.189897515	2.82842712	-2.33392122e-20	2.33392122e-20	0	0.819969394	0	-0.00553496886	0.000959455737	0.524339409	-0.650597755	-1.05917261	0.373230588	0.0703545137	0.0840009725	22.937675
0.1	1	-1.50030138e-20	0.18992135	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.813571309	0	-0.00706252261	0.00124332903	0.52256647	-0.750314388	-1.01960078	0.384828822	0.051310533	0.0822400102	19.642408
0.11	1	-1.50030138e-20	0.189939609	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.806839012	0	-0.00856239367	0.00154248086	0.521241077	-0.831735033	-0.932343059	0.393756526	0.0842332312	0.0804286449	19.317358
0.12	1	-9.00180831e-21	0.189953602	2.82842712	-6.3652397e-21	6.3652397e-21	0	0.799261458	0	-0.0100207249	0.00183548061	0.520497199	-0.872918847	-0.772238114	0.400325804	0.0773496784	0.0785939588	17.650098
0.13	1	-1.20024111e-20	0.189964327	2.82842712	-8.48698626e-21	8.48698626e-21	0	0.79040586	0	-0.0112789643	0.00212391107	0.51963593	-0.887863783	-0.496556947	0.406363227	0.0779186966	0.0767690191	25.232428
0.14	1	-1.20024111e-20	0.189972549	2.82842712	-8.48698626e-21	8.48698626e-21	0	0.779638745	0	-0.0122912463	0.0023884099	0.519142481	-0.864416974	-0.2570092	0.410956014	0.0614584284	0.0748890427	20.442178
0.15	1	-9.00180831e-21	0.189978852	2.82842712	-6.3652397e-21	6.3652397e-21	0	0.766703654	0	-0.0130700517	0.00264764649	0.518911659	-0.826887484	-0.0283007922	0.413150409	0.0371068844	0.073046302	18.961662
0.16	1	-1.80036166e-20	0.189983684	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.751542829	0	-0.0135933021	0.00288283525	0.518879786	-0.76584817	0.198099628	0.412013847	0.0492729293	0.0712222574	18.977203
0.17	1	-2.40048222e-20	0.189987389	2.82842712	-1.69739725e-20	1.69739725e-20	0	0.734260045	0	-0.0138582187	0.00307974402	0.519019622	-0.674599025	0.40507274	0.410048393	0.036589074	0.0693980344	19.017586
0.18	1	-2.40048222e-20	0.189990229	2.82842712	-1.69739725e-20	1.69739725e-20	0	0.715093266	0	-0.0139139907	0.00322123631	0.519358276	-0.565521731	0.585316078	0.407242288	0.0475339345	0.0675648816	20.34539
0.19	1	-2.40048222e-20	0.189992407	2.82842712	-1.69739725e-20	1.69739725e-20	0	0.694380977	0	-0.0137682866	0.00331284393	0.519878114	-0.456960072	0.724246829	0.403524366	0.0490004371	0.0657163953	20.399502
0.2	1	-2.10042194e-20	0.189994076	2.82842712	-1.4852226e-20	1.4852226e-20	0	0.672506161	0	-0.0134221739	0.00336559139	0.5205547	-0.379397918	0.841564689	0.399366547	0.0441305665	0.063826189	18.312273
0.21	1	-2.70054249e-20	0.189995356	2.82842712	-1.90957191e-20	1.90957191e-20	0	0.649853213	0	-0.0128843464	0.00336431989	0.521353508	-0.318506925	0.921923699	0.394787941	0.0576334727	0.0618598569	19.903899
0.22	1	-4.20084388e-20	0.189996338	2.82842712	-2.97044519e-20	2.97044519e-20	0	0.626766154	0	-0.012198545	0.00329953243	0.522283627	-0.259592617	0.981221225	0.389605253	0.0495763932	0.059801048	18.724321
0.23	1	-4.80096443e-20	0.18999709	2.82842712	-3.39479451e-20	3.39479451e-20	0	0.603584056	0	-0.0113256009	0.00322078406	0.522882849	-0.197893187	1.12627696	0.384399818	0.0727339977	0.0576412599	19.277325
0.24	1	-7.50150692e-20	0.189997667	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.580426078	0	-0.0103038184	0.00315273039	0.523527967	-0.243233434	1.15814148	0.378632282	0.0519604475	0.0553551287	19.32581
0.25	1	-7.20144665e-20	0.189998109	2.82842712	-5.09219176e-20	5.09219176e-20	0	0.557477275	0	-0.00909690153	0.00305477125	0.524326856	-0.28432409	1.13236099	0.372590996	0.0626406342	0.0528504964	19.288338
0.26	1	-7.50150692e-20	0.189998448	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.534917087	0	-0.00771036004	0.00292021439	0.525190214	-0.323402687	1.06463379	0.366121035	0.0365460493	0.0501487988	19.122464
0.27	1	-6.60132609e-20	0.189998708	2.82842712	-4.66784244e-20	4.66784244e-20	0	0.512942219	0	-0.00613851276	0.00273284517	0.525917392	-0.340855848	0.952469748	0.359541722	0.0605098434	0.0476602795	20.365208
0.28	1	-7.50150692e-20	0.189998908	2.82842712	-5.30436641e-20	5.30436641e-20	0	0.491678813	0	-0.00436212435	0.00248241513	0.526558119	-0.333376099	0.823786855	0.353154129	0.0692877924	0.045373163	18.636234
0.29	1	-8.10162748e-20	0.189999061	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.47127367	0	-0.00240065624	0.0021815111	0.527099297	-0.304716427	0.689720922	0.347033709	0.0356697903	0.0432710004	20.382059
0.3	1	-8.10162748e-20	0.189999178	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.451899061	0	-0.000240542439	0.00185374238	0.527494585	-0.279106261	0.522771092	0.341094372	0.0609329799	0.0413610279	19.632894
0.31	1	-8.10162748e-20	0.189999268	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.433681262	0	0.00206738605	0.00148919521	0.527823484	-0.246030782	0.350519438	0.335373248	0.0401797324	0.0395675875	19.6916
0.32	1	-7.8015672e-20	0.189999336	2.82842712	-5.51654107e-20	5.51654107e-20	0	0.416714352	0	0.00447316089	0.00108520343	0.528188566	-0.210290831	0.198152689	0.329754095	0.0296467873	0.037880151	23.333928
0.33	1	-8.10162748e-20	0.189999389	2.82842712	-5.72871573e-20	5.72871573e-20	0	0.401127391	0	0.00696624653	0.000661351844	0.528466782	-0.188189792	0.0413273583	0.324384124	0.0789873815	0.0362625953	20.536001
