time_s	best_cost
0.000000000000000000e+00	3.191374756959933802e+04
1.000000000000000021e-02	2.638363608585896145e+04
2.000000000000000042e-02	2.051278792582430469e+04
2.999999999999999889e-02	2.122354450267564607e+04
4.000000000000000083e-02	1.989866389063128736e+04
5.000000000000000278e-02	2.400587532003011438e+04
6.000000000000000472e-02	2.389386693779659254e+04
7.000000000000000666e-02	2.842357512516513088e+04
8.000000000000000167e-02	2.252208790495452558e+04
8.999999999999999667e-02	2.705616498802250862e+04
9.999999999999999167e-02	2.340923312521867047e+04
1.099999999999999867e-01	3.122802786816217849e+04
1.199999999999999817e-01	2.572276737859743298e+04
1.299999999999999767e-01	2.564398500254425016e+04
1.399999999999999856e-01	2.909246591060359788e+04
1.499999999999999944e-01	3.121206178530249963e+04
1.600000000000000033e-01	3.089776876493987584e+04
1.700000000000000122e-01	3.416920551256991894e+04
1.800000000000000211e-01	3.250631293066729631e+04
1.900000000000000300e-01	1.893876979313119955e+04
2.000000000000000389e-01	3.320818298209468776e+04
2.100000000000000477e-01	3.027521276426986151e+04
2.200000000000000566e-01	3.508051041418776731e+04
2.300000000000000655e-01	2.464777745104589485e+04
2.400000000000000744e-01	3.015786875799818881e+04
2.500000000000000555e-01	3.247737167289484933e+04
2.600000000000000644e-01	3.484328764874101762e+04
2.700000000000000733e-01	3.097630553150846390e+04
2.800000000000000822e-01	3.023114497334895350e+04
2.900000000000000910e-01	3.387496117222089379e+04
3.000000000000000999e-01	3.882479585541562847e+04
3.100000000000001088e-01	3.654652593321079621e+04
3.200000000000001177e-01	3.463626919026942051e+04
3.300000000000001266e-01	3.891660298455468728e+04
3.400000000000001354e-01	2.727391277117309073e+04
3.500000000000001443e-01	3.293200592348335340e+04
3.600000000000001532e-01	3.180100561284141077e+04
3.700000000000001621e-01	3.380232400147245789e+04
3.800000000000001710e-01	2.874450476138445811e+04
3.900000000000001799e-01	2.988194459057951826e+04
4.000000000000001887e-01	3.606143157810425328e+04
4.100000000000001976e-01	3.436552643203473417e+04
4.200000000000002065e-01	3.309729850669635925e+04
4.300000000000002154e-01	3.482530392097091681e+04
4.400000000000002243e-01	3.499833710365007573e+04
4.500000000000002331e-01	3.775046904874608299e+04
4.600000000000002420e-01	3.271230061015941101e+04
4.700000000000002509e-01	2.586412301121343626e+04
4.800000000000002598e-01	3.383343622723162116e+04
4.900000000000002687e-01	3.352043948136637482e+04
5.000000000000002220e-01	3.406366573246063490e+04
5.100000000000002309e-01	1.559576594042880461e+05
5.200000000000002398e-01	1.525623509148358135e+05
5.300000000000002487e-01	1.431188678038084763e+05
5.400000000000002576e-01	1.534734985308078176e+05
5.500000000000002665e-01	1.502140277509478328e+05
5.600000000000002753e-01	1.540432985667776375e+05
5.700000000000002842e-01	1.464183432663450367e+05
5.800000000000002931e-01	1.482076850756951317e+05
5.900000000000003020e-01	1.471437975481034082e+05
6.000000000000003109e-01	1.433692311938843923e+05
6.100000000000003197e-01	1.472393746018189704e+05
6.200000000000003286e-01	1.418443288466112572e+05
6.300000000000003375e-01	1.435043193377941498e+05
6.400000000000003464e-01	1.434683452030123444e+05
6.500000000000003553e-01	1.395313751429722761e+05
6.600000000000003642e-01	1.358915586146353162e+05
6.700000000000003730e-01	1.329100693023453350e+05
6.800000000000003819e-01	1.382236203735241725e+05
6.900000000000003908e-01	1.298241421264817764e+05
7.000000000000003997e-01	1.313178604730394145e+05
7.100000000000004086e-01	1.281722208481599810e+05
7.200000000000004174e-01	1.240965768534294766e+05
7.300000000000004263e-01	1.214487715110396530e+05
7.400000000000004352e-01	1.209933844052908244e+05
7.500000000000004441e-01	1.154589872478982288e+05
7.600000000000004530e-01	1.127980935774290119e+05
7.700000000000004619e-01	1.074261952055071015e+05
7.800000000000004707e-01	1.074984677311782580e+05
7.900000000000004796e-01	1.081969712812552461e+05
8.000000000000004885e-01	1.081996338963225426e+05
8.100000000000004974e-01	1.042730652606828080e+05
8.200000000000005063e-01	1.038383122831647634e+05
8.300000000000005151e-01	1.062505921280096227e+05
8.400000000000005240e-01	9.857332524236052996e+04
8.500000000000005329e-01	9.547370071170030860e+04
8.600000000000005418e-01	8.680343446798858349e+04
8.700000000000005507e-01	8.302325987540748611e+04
8.800000000000005596e-01	8.343559260487076244e+04
8.900000000000005684e-01	7.921556149876874406e+04
9.000000000000005773e-01	8.103622511350935383e+04
9.100000000000005862e-01	6.942800162838282995e+04
9.200000000000005951e-01	7.198568161258895998e+04
9.300000000000006040e-01	7.316580678734742105e+04
9.400000000000006128e-01	7.575041973931217217e+04
9.500000000000006217e-01	7.394065302521373087e+04
9.600000000000006306e-01	7.123599795339276898e+04
9.700000000000006395e-01	6.505431856280314241e+04
9.800000000000006484e-01	6.353040194552748289e+04
9.900000000000006573e-01	7.199455115121448762e+04
1.000000000000000666e+00	6.795648656559777737e+04
1.010000000000000675e+00	5.960852314474857121e+04
1.020000000000000684e+00	5.829671493169157475e+04
1.030000000000000693e+00	5.971071281882293988e+04
1.040000000000000702e+00	6.164339878022957419e+04
1.050000000000000711e+00	5.563877102248554002e+04
1.060000000000000719e+00	5.397874838676521904e+04
1.070000000000000728e+00	5.415619947277633764e+04
1.080000000000000737e+00	4.922987137497484946e+04
1.090000000000000746e+00	5.393079145589168911e+04
1.100000000000000755e+00	5.797202553989370062e+04
1.110000000000000764e+00	5.966115316923079081e+05
1.120000000000000773e+00	6.086711876119030640e+05
1.130000000000000782e+00	5.923334537144938949e+05
1.140000000000000790e+00	5.775730545325034764e+05
1.150000000000000799e+00	5.828247555011978839e+05
1.160000000000000808e+00	5.711682937784254318e+05
1.170000000000000817e+00	5.761436602506594500e+05
1.180000000000000826e+00	5.660568244404216530e+05
1.190000000000000835e+00	5.656919404974263161e+05
1.200000000000000844e+00	5.398360654396417085e+05
1.210000000000000853e+00	5.230491578487483202e+05
1.220000000000000862e+00	5.237938881934827077e+05
1.230000000000000870e+00	4.991063766092089936e+05
1.240000000000000879e+00	4.901895657678623684e+05
1.250000000000000888e+00	4.796628162333854707e+05
1.260000000000000897e+00	4.613864329355172231e+05
1.270000000000000906e+00	4.609219088937853230e+05
1.280000000000000915e+00	4.520823967062222073e+05
1.290000000000000924e+00	4.345757746604331769e+05
1.300000000000000933e+00	4.054782953457439435e+05
1.310000000000000941e+00	4.356701194147916976e+05
1.320000000000000950e+00	4.052309935571246897e+05
1.330000000000000959e+00	3.889606614433056675e+05
1.340000000000000968e+00	4.078314890006015776e+05
1.350000000000000977e+00	3.564332967341544572e+05
1.360000000000000986e+00	3.352183258921735687e+05
1.370000000000000995e+00	3.653483245360713336e+05
1.380000000000001004e+00	3.464574524053190835e+05
1.390000000000001013e+00	3.318153784489565296e+05
1.400000000000001021e+00	3.527652950326325372e+05
1.410000000000001030e+00	3.294306435722542810e+05
1.420000000000001039e+00	3.156644718215764151e+05
1.430000000000001048e+00	3.751769692097758525e+05
1.440000000000001057e+00	3.126941766616356326e+05
1.450000000000001066e+00	3.113998758121021092e+05
1.460000000000001075e+00	2.745511056944382726e+05
1.470000000000001084e+00	2.909393303407285130e+05
1.480000000000001092e+00	2.772939474733428797e+05
1.490000000000001101e+00	3.259573584275436588e+05
1.500000000000001110e+00	2.675906690147983027e+05
1.510000000000001119e+00	2.619850329945728590e+05
1.520000000000001128e+00	2.307095183277674951e+05
1.530000000000001137e+00	2.043549629804966098e+05
1.540000000000001146e+00	1.742736832904234179e+05
1.550000000000001155e+00	1.689715109726871015e+05
1.560000000000001164e+00	1.604060721472589939e+05
1.570000000000001172e+00	1.515706731649294379e+05
1.580000000000001181e+00	1.434359523411192640e+05
1.590000000000001190e+00	1.378687106719530420e+05
1.600000000000001199e+00	1.294298304208058689e+05
1.610000000000001208e+00	1.215700495665827184e+05
1.620000000000001217e+00	1.250064273830078891e+05
1.630000000000001226e+00	1.220417985224188888e+05
1.640000000000001235e+00	1.183101009484305687e+05
1.650000000000001243e+00	1.215732012056577078e+05
1.660000000000001252e+00	1.190212328659633349e+05
1.670000000000001261e+00	1.236449303875174955e+05
1.680000000000001270e+00	1.780313108247146301e+05
1.690000000000001279e+00	1.809390274900015502e+05
1.700000000000001288e+00	1.769214196766075911e+05
1.710000000000001297e+00	1.775983683325533639e+05
1.720000000000001306e+00	1.706128421817912022e+05
1.730000000000001315e+00	1.629737411708072759e+05
1.740000000000001323e+00	1.612293581824793946e+05
1.750000000000001332e+00	1.653820644948691770e+05
1.760000000000001341e+00	1.552541036810400547e+05
1.770000000000001350e+00	1.544851815697885759e+05
1.780000000000001359e+00	1.467761502671024646e+05
1.790000000000001368e+00	1.433162177797490440e+05
1.800000000000001377e+00	1.443244413454218884e+05
1.810000000000001386e+00	1.441770666890216526e+05
1.820000000000001394e+00	1.407677102772372891e+05
1.830000000000001403e+00	1.370795219411869766e+05
1.840000000000001412e+00	1.428066245017041219e+05
1.850000000000001421e+00	1.339730420922478952e+05
1.860000000000001430e+00	1.322422812800920219e+05
1.870000000000001439e+00	1.301502816266652226e+05
1.880000000000001448e+00	1.269817639014401357e+05
1.890000000000001457e+00	1.259328910662141279e+05
1.900000000000001465e+00	1.295900886439678725e+05
1.910000000000001474e+00	1.291647843853142404e+05
1.920000000000001483e+00	1.267389701453405432e+05
1.930000000000001492e+00	1.337491091783395386e+05
1.940000000000001501e+00	1.334214919801463548e+05
1.950000000000001510e+00	1.369291798128460941e+05
1.960000000000001519e+00	1.315328945962235157e+05
1.970000000000001528e+00	1.358161241928951058e+05
1.980000000000001537e+00	1.399020522229438648e+05
1.990000000000001545e+00	1.597425567183652311e+05
2.000000000000001332e+00	1.725821015703736921e+05
2.010000000000001119e+00	1.061731131179696531e+05
2.020000000000000906e+00	1.091851692824170023e+05
2.030000000000000693e+00	1.003008882857319113e+05
2.040000000000000480e+00	9.993137020185650908e+04
2.050000000000000266e+00	9.682346482389824814e+04
2.060000000000000053e+00	9.035443889597688394e+04
2.069999999999999840e+00	9.079690708507481031e+04
2.079999999999999627e+00	8.213212191009658272e+04
2.089999999999999414e+00	8.209466019697384036e+04
2.099999999999999201e+00	8.483517383529974904e+04
2.109999999999998987e+00	8.208796740936044080e+04
2.119999999999998774e+00	8.389290187982056523e+04
2.129999999999998561e+00	8.324626342681133247e+04
2.139999999999998348e+00	7.967048726162628736e+04
2.149999999999998135e+00	7.439763792636012658e+04
2.159999999999997922e+00	8.107832065332526690e+04
2.169999999999997708e+00	7.505406312409993552e+04
2.179999999999997495e+00	8.065679212660968187e+04
2.189999999999997282e+00	8.219642083427830948e+04
2.199999999999997069e+00	7.528522531116590835e+04
2.209999999999996856e+00	7.475869298885505123e+04
2.219999999999996643e+00	8.001505531681625871e+04
2.229999999999996430e+00	8.031516202547607827e+04
2.239999999999996216e+00	7.259412954020535108e+04
2.249999999999996003e+00	7.363694078330748016e+04
2.259999999999995790e+00	7.106405011560744606e+04
2.269999999999995577e+00	7.225579526348339277e+04
2.279999999999995364e+00	7.302884828768557054e+04
2.289999999999995151e+00	6.728051586901207338e+04
2.299999999999994937e+00	6.975771292650565738e+04
2.309999999999994724e+00	6.852467839266631927e+04
2.319999999999994511e+00	6.669903621429466875e+04
2.329999999999994298e+00	7.105305397787735274e+04
2.339999999999994085e+00	6.988068455325423565e+04
2.349999999999993872e+00	6.311682388104849815e+04
2.359999999999993658e+00	6.030118111897803465e+04
2.369999999999993445e+00	6.657474227021387196e+04
2.379999999999993232e+00	6.516614544602880051e+04
2.389999999999993019e+00	6.392215415717645374e+04
2.399999999999992806e+00	6.663572219314367976e+04
2.409999999999992593e+00	6.562462956398344249e+04
