time_s	best_cost
0.000000000000000000e+00	3.401484030633040820e+05
1.000000000000000021e-02	3.231126630547131645e+05
2.000000000000000042e-02	3.096922150808493607e+05
2.999999999999999889e-02	3.044840206954305759e+05
4.000000000000000083e-02	2.975502357925784308e+05
5.000000000000000278e-02	2.871614859381517163e+05
6.000000000000000472e-02	2.787932526384308003e+05
7.000000000000000666e-02	2.710809826684110449e+05
8.000000000000000167e-02	2.644619474715739489e+05
8.999999999999999667e-02	2.590252195525605639e+05
9.999999999999999167e-02	2.547978337940991623e+05
1.099999999999999867e-01	2.496347919626338698e+05
1.199999999999999817e-01	2.446907220947229653e+05
1.299999999999999767e-01	2.409784272185704904e+05
1.399999999999999856e-01	2.322988214486945944e+05
1.499999999999999944e-01	2.294463717023046047e+05
1.600000000000000033e-01	2.259908355992903525e+05
1.700000000000000122e-01	2.227814306450702134e+05
1.800000000000000211e-01	2.215564306445495749e+05
1.900000000000000300e-01	2.199909288708581007e+05
2.000000000000000389e-01	2.201275143209120142e+05
2.100000000000000477e-01	2.188125311370038835e+05
2.200000000000000566e-01	2.177245807372075215e+05
2.300000000000000655e-01	2.167617340263966471e+05
2.400000000000000744e-01	2.166565414916150621e+05
2.500000000000000555e-01	2.169324036670828937e+05
2.600000000000000644e-01	2.151088715583280427e+05
2.700000000000000733e-01	2.148630208076579147e+05
2.800000000000000822e-01	2.144441246948210755e+05
2.900000000000000910e-01	2.142766705160532147e+05
3.000000000000000999e-01	2.150521524951907923e+05
3.100000000000001088e-01	2.150029416880656499e+05
3.200000000000001177e-01	2.152965429352329811e+05
3.300000000000001266e-01	2.145796247468820657e+05
3.400000000000001354e-01	2.142308747861754673e+05
3.500000000000001443e-01	2.139298925275937072e+05
3.600000000000001532e-01	2.131645209289716731e+05
3.700000000000001621e-01	2.133630125359280792e+05
3.800000000000001710e-01	2.134806566787521879e+05
3.900000000000001799e-01	2.131289015761666233e+05
4.000000000000001887e-01	2.128124086939572589e+05
4.100000000000001976e-01	2.127613100540580926e+05
4.200000000000002065e-01	2.120774118390471558e+05
4.300000000000002154e-01	2.128527375094088493e+05
4.400000000000002243e-01	2.103819417460486002e+05
4.500000000000002331e-01	2.106161054357191897e+05
4.600000000000002420e-01	2.098077280168849102e+05
4.700000000000002509e-01	2.100322052384773851e+05
4.800000000000002598e-01	2.080877415257716493e+05
4.900000000000002687e-01	2.092149347851788043e+05
5.000000000000002220e-01	2.078524607164241024e+05
5.100000000000002309e-01	2.079091006996007054e+05
5.200000000000002398e-01	2.068264339478452457e+05
5.300000000000002487e-01	2.063232919963911991e+05
5.400000000000002576e-01	2.068911760041386005e+05
5.500000000000002665e-01	2.056377363435443258e+05
5.600000000000002753e-01	2.048141023850394704e+05
5.700000000000002842e-01	2.041222205192782858e+05
5.800000000000002931e-01	2.040620838449729199e+05
5.900000000000003020e-01	2.039564731911287527e+05
6.000000000000003109e-01	2.044526312673344801e+05
6.100000000000003197e-01	2.046124084554669680e+05
6.200000000000003286e-01	2.043140509947068058e+05
6.300000000000003375e-01	2.041784251581211574e+05
6.400000000000003464e-01	2.064375958715261368e+05
6.500000000000003553e-01	2.069791504571001278e+05
6.600000000000003642e-01	2.093273658099557506e+05
6.700000000000003730e-01	2.077773543645307655e+05
6.800000000000003819e-01	2.059999201028722455e+05
6.900000000000003908e-01	2.058016069349341560e+05
7.000000000000003997e-01	2.075312600835912745e+05
7.100000000000004086e-01	2.059660030523445457e+05
7.200000000000004174e-01	2.061945508707687841e+05
7.300000000000004263e-01	2.040711945670057903e+05
7.400000000000004352e-01	2.075510765359861543e+05
7.500000000000004441e-01	2.089800625890883384e+05
7.600000000000004530e-01	2.055965474562606541e+05
7.700000000000004619e-01	2.058859007867887849e+05
7.800000000000004707e-01	2.047417819496153970e+05
7.900000000000004796e-01	2.063394087454972032e+05
8.000000000000004885e-01	2.054061983061777428e+05
8.100000000000004974e-01	2.031148739303703769e+05
8.200000000000005063e-01	2.034821008317438536e+05
8.300000000000005151e-01	2.018972604741012619e+05
8.400000000000005240e-01	2.001835118445238622e+05
8.500000000000005329e-01	2.006817153833696502e+05
8.600000000000005418e-01	2.003599223464957613e+05
8.700000000000005507e-01	1.995225222440971993e+05
8.800000000000005596e-01	1.989147738817731151e+05
8.900000000000005684e-01	1.990295997073632898e+05
9.000000000000005773e-01	1.993533494128850289e+05
9.100000000000005862e-01	1.995899053385248990e+05
9.200000000000005951e-01	1.996488872965459886e+05
9.300000000000006040e-01	1.998972982491329021e+05
9.400000000000006128e-01	1.985743380192068871e+05
9.500000000000006217e-01	1.982690431569506763e+05
9.600000000000006306e-01	1.979965123586043483e+05
9.700000000000006395e-01	1.971679670965021942e+05
9.800000000000006484e-01	1.966021486342070275e+05
9.900000000000006573e-01	1.964334967918808688e+05
1.000000000000000666e+00	1.969229803296946338e+05
1.010000000000000675e+00	1.956900106691025139e+05
1.020000000000000684e+00	1.955012473761921865e+05
1.030000000000000693e+00	1.943208266312634805e+05
1.040000000000000702e+00	1.942025873141522752e+05
1.050000000000000711e+00	1.937140154149335576e+05
1.060000000000000719e+00	1.926149187274507130e+05
1.070000000000000728e+00	1.926471931351991370e+05
1.080000000000000737e+00	1.924451427243954968e+05
1.090000000000000746e+00	1.937927852787486045e+05
1.100000000000000755e+00	1.935228697570937220e+05
1.110000000000000764e+00	1.936450182716865093e+05
1.120000000000000773e+00	1.923024340622386080e+05
1.130000000000000782e+00	1.930777161120493547e+05
1.140000000000000790e+00	1.928491909244178096e+05
1.150000000000000799e+00	1.928768342547181819e+05
1.160000000000000808e+00	1.931995921123092412e+05
1.170000000000000817e+00	1.929054959474100033e+05
1.180000000000000826e+00	1.939568668439433095e+05
1.190000000000000835e+00	1.937522909006728441e+05
1.200000000000000844e+00	1.943904268779723498e+05
1.210000000000000853e+00	1.931093448805848020e+05
1.220000000000000862e+00	1.920273083514764148e+05
1.230000000000000870e+00	1.913480049652889138e+05
1.240000000000000879e+00	1.911710885120357270e+05
1.250000000000000888e+00	1.908536559764627309e+05
1.260000000000000897e+00	1.903349288822645321e+05
1.270000000000000906e+00	1.901558707324466086e+05
1.280000000000000915e+00	1.902178733336123405e+05
1.290000000000000924e+00	1.897777000299358624e+05
1.300000000000000933e+00	1.893770815226936829e+05
1.310000000000000941e+00	1.892093230192180490e+05
1.320000000000000950e+00	1.893322755598382209e+05
1.330000000000000959e+00	1.891905763491215184e+05
1.340000000000000968e+00	1.881612592208650894e+05
1.350000000000000977e+00	1.881475823716912419e+05
1.360000000000000986e+00	1.870766935978452675e+05
1.370000000000000995e+00	1.857203758562892326e+05
1.380000000000001004e+00	1.848357445183008094e+05
1.390000000000001013e+00	1.852090189952422807e+05
1.400000000000001021e+00	1.842573976042629220e+05
1.410000000000001030e+00	1.842937053559112828e+05
1.420000000000001039e+00	1.837394043300930061e+05
1.430000000000001048e+00	1.834241083424167009e+05
1.440000000000001057e+00	1.836409538381823804e+05
1.450000000000001066e+00	1.817793520660450158e+05
1.460000000000001075e+00	1.815441159613360651e+05
1.470000000000001084e+00	1.815757124990288576e+05
1.480000000000001092e+00	1.800333595270537771e+05
1.490000000000001101e+00	1.798296553010304051e+05
1.500000000000001110e+00	1.791100196201878716e+05
1.510000000000001119e+00	1.789919979010684765e+05
1.520000000000001128e+00	1.762248409990294022e+05
1.530000000000001137e+00	1.758502752874318976e+05
1.540000000000001146e+00	1.754916104131040338e+05
1.550000000000001155e+00	1.744025426467217039e+05
1.560000000000001164e+00	1.727522512894251558e+05
1.570000000000001172e+00	1.720907133323548478e+05
1.580000000000001181e+00	1.706298339450914646e+05
1.590000000000001190e+00	1.710132492991930339e+05
1.600000000000001199e+00	1.708827371066677733e+05
1.610000000000001208e+00	1.707332276838762627e+05
1.620000000000001217e+00	1.707055181603037054e+05
1.630000000000001226e+00	1.705842488482504268e+05
1.640000000000001235e+00	1.701882722513219051e+05
1.650000000000001243e+00	1.685662017800121685e+05
1.660000000000001252e+00	1.701733709124862507e+05
1.670000000000001261e+00	1.701863517329815950e+05
1.680000000000001270e+00	1.708343597317637177e+05
1.690000000000001279e+00	1.702807442567130201e+05
1.700000000000001288e+00	1.700546708536637307e+05
1.710000000000001297e+00	1.690987161410851986e+05
1.720000000000001306e+00	1.687225833694432222e+05
1.730000000000001315e+00	1.682270481426206534e+05
1.740000000000001323e+00	1.668480309714883915e+05
1.750000000000001332e+00	1.666106576749993837e+05
1.760000000000001341e+00	1.670260248644354870e+05
1.770000000000001350e+00	1.658583908087972086e+05
1.780000000000001359e+00	1.652766601957179955e+05
1.790000000000001368e+00	1.649465036123661266e+05
1.800000000000001377e+00	1.654652933812832343e+05
1.810000000000001386e+00	1.649545681138869550e+05
1.820000000000001394e+00	1.653842026526233822e+05
1.830000000000001403e+00	1.659523812343697646e+05
1.840000000000001412e+00	1.660430886790676450e+05
1.850000000000001421e+00	1.656860746956808434e+05
1.860000000000001430e+00	1.655494767120780889e+05
1.870000000000001439e+00	1.655843926282299217e+05
1.880000000000001448e+00	1.655977412753845565e+05
1.890000000000001457e+00	1.655993850783878297e+05
1.900000000000001465e+00	1.651335827645640238e+05
1.910000000000001474e+00	1.652793711018006434e+05
1.920000000000001483e+00	1.651705751458745217e+05
1.930000000000001492e+00	1.653967079542984720e+05
1.940000000000001501e+00	1.652158123242505826e+05
1.950000000000001510e+00	1.654013703493014909e+05
1.960000000000001519e+00	1.651067886612671718e+05
