time_s	best_cost
0.000000000000000000e+00	6.802417337463776676e+03
1.000000000000000021e-02	2.781208050617509798e+04
2.000000000000000042e-02	2.474443620679777814e+04
2.999999999999999889e-02	2.411340334893080944e+04
4.000000000000000083e-02	2.437515843375822442e+04
5.000000000000000278e-02	2.445538321810624620e+04
6.000000000000000472e-02	2.461755936769480104e+04
7.000000000000000666e-02	2.446121037343273929e+04
8.000000000000000167e-02	2.452821719590373687e+04
8.999999999999999667e-02	2.456344950291679561e+04
9.999999999999999167e-02	2.485138260954452926e+04
1.099999999999999867e-01	2.458780774310234119e+04
1.199999999999999817e-01	2.445461811720598780e+04
1.299999999999999767e-01	2.458572998795939566e+04
1.399999999999999856e-01	2.470799055345794113e+04
1.499999999999999944e-01	2.458024972357501247e+04
1.600000000000000033e-01	2.461379667054983292e+04
1.700000000000000122e-01	2.409100699896919105e+04
1.800000000000000211e-01	2.390922266591270090e+04
1.900000000000000300e-01	2.354815860761345175e+04
2.000000000000000389e-01	2.432225452922366094e+04
2.100000000000000477e-01	2.372907365625143575e+04
2.200000000000000566e-01	2.400290352621334387e+04
2.300000000000000655e-01	2.380043013592116768e+04
2.400000000000000744e-01	2.372691035466355970e+04
2.500000000000000555e-01	2.278138880980444446e+04
2.600000000000000644e-01	2.302379596416991262e+04
2.700000000000000733e-01	2.335694525324460847e+04
2.800000000000000822e-01	2.304078871697318755e+04
2.900000000000000910e-01	2.283634689176245593e+04
3.000000000000000999e-01	2.435577003571020396e+04
3.100000000000001088e-01	2.434063819662560127e+04
3.200000000000001177e-01	2.354452927485173495e+04
3.300000000000001266e-01	2.415695654039395959e+04
3.400000000000001354e-01	2.422985947507845049e+04
3.500000000000001443e-01	2.453460364340870001e+04
3.600000000000001532e-01	2.384725734174692479e+04
3.700000000000001621e-01	2.486071737111653056e+04
3.800000000000001710e-01	2.394857477630838548e+04
3.900000000000001799e-01	2.436189834149974922e+04
4.000000000000001887e-01	2.418790498658426077e+04
4.100000000000001976e-01	2.413965363543936837e+04
4.200000000000002065e-01	2.447360363243650863e+04
4.300000000000002154e-01	2.366290831374941990e+04
4.400000000000002243e-01	2.376486585834867947e+04
4.500000000000002331e-01	2.271073297813138197e+04
4.600000000000002420e-01	2.366938235567595257e+04
4.700000000000002509e-01	2.247057749368467921e+04
4.800000000000002598e-01	2.295386741130498558e+04
4.900000000000002687e-01	2.270935730661702837e+04
5.000000000000002220e-01	2.330785993055847212e+04
5.100000000000002309e-01	2.232858692712222546e+04
5.200000000000002398e-01	2.184239109724183800e+04
5.300000000000002487e-01	2.277947856490492632e+04
5.400000000000002576e-01	2.366143522574505187e+04
5.500000000000002665e-01	2.313719531863544398e+04
5.600000000000002753e-01	2.305395413341099629e+04
5.700000000000002842e-01	2.304081570549564276e+04
5.800000000000002931e-01	2.329426217569643632e+04
5.900000000000003020e-01	2.396349396422712380e+04
6.000000000000003109e-01	2.414811406523530604e+04
6.100000000000003197e-01	2.404200755875828327e+04
6.200000000000003286e-01	2.408864448938283749e+04
6.300000000000003375e-01	2.455192945948081979e+04
6.400000000000003464e-01	2.405740971701604576e+04
6.500000000000003553e-01	2.348810033872143686e+04
6.600000000000003642e-01	2.304800737798698901e+04
6.700000000000003730e-01	2.291631997127829527e+04
6.800000000000003819e-01	2.351609157847120514e+04
6.900000000000003908e-01	2.282582490971467269e+04
7.000000000000003997e-01	2.309068387965136571e+04
7.100000000000004086e-01	2.334564388495830281e+04
7.200000000000004174e-01	2.350494903070685541e+04
7.300000000000004263e-01	2.277212986801813167e+04
7.400000000000004352e-01	2.232881087199840113e+04
7.500000000000004441e-01	2.286218335420387302e+04
7.600000000000004530e-01	2.269857450085102391e+04
7.700000000000004619e-01	2.246609860385262436e+04
7.800000000000004707e-01	2.168568708023541694e+04
7.900000000000004796e-01	2.194475548188742323e+04
8.000000000000004885e-01	2.246667961936921347e+04
8.100000000000004974e-01	2.244115779366052084e+04
8.200000000000005063e-01	2.211065089036723293e+04
8.300000000000005151e-01	2.266600350962841912e+04
8.400000000000005240e-01	2.223828249863956444e+04
8.500000000000005329e-01	2.239256059448121232e+04
8.600000000000005418e-01	2.313939444174031087e+04
8.700000000000005507e-01	2.250644766595774126e+04
8.800000000000005596e-01	2.292456892092118142e+04
8.900000000000005684e-01	2.171162524633153225e+04
9.000000000000005773e-01	2.215651734848371416e+04
9.100000000000005862e-01	2.190561626253448048e+04
9.200000000000005951e-01	2.125606990971139021e+04
9.300000000000006040e-01	2.188425002553037848e+04
9.400000000000006128e-01	2.202260274775406651e+04
9.500000000000006217e-01	2.152347663488115359e+04
9.600000000000006306e-01	2.107845049807224495e+04
9.700000000000006395e-01	2.146901372629148682e+04
9.800000000000006484e-01	2.063172745396524260e+04
9.900000000000006573e-01	2.164859055862516107e+04
1.000000000000000666e+00	2.105177048986367299e+04
1.010000000000000675e+00	2.061410667963980450e+04
1.020000000000000684e+00	2.131450180171677857e+04
1.030000000000000693e+00	2.088669671003040276e+04
1.040000000000000702e+00	2.084143856854395563e+04
1.050000000000000711e+00	2.119865229500765054e+04
1.060000000000000719e+00	2.101835578327846088e+04
1.070000000000000728e+00	2.176927610170144908e+04
1.080000000000000737e+00	2.145188360701920101e+04
1.090000000000000746e+00	2.170895993101493877e+04
1.100000000000000755e+00	2.164097814492410544e+04
1.110000000000000764e+00	2.172043384517357117e+04
1.120000000000000773e+00	2.183044375942290935e+04
1.130000000000000782e+00	2.187788362097226491e+04
1.140000000000000790e+00	2.085958706000937309e+04
1.150000000000000799e+00	2.118699850869877991e+04
1.160000000000000808e+00	2.151533687503590045e+04
1.170000000000000817e+00	2.168470452759710315e+04
1.180000000000000826e+00	2.040694113377757094e+04
1.190000000000000835e+00	2.150534554621380448e+04
1.200000000000000844e+00	2.083964372599659691e+04
1.210000000000000853e+00	2.146333274113262451e+04
1.220000000000000862e+00	2.066333003147815180e+04
1.230000000000000870e+00	1.947427853665797375e+04
1.240000000000000879e+00	2.004354138385944680e+04
1.250000000000000888e+00	1.965399336678978580e+04
1.260000000000000897e+00	1.993989201764416794e+04
1.270000000000000906e+00	2.046887296089481242e+04
1.280000000000000915e+00	2.009824762561980242e+04
1.290000000000000924e+00	1.933742211204833075e+04
1.300000000000000933e+00	1.930441249854638227e+04
1.310000000000000941e+00	2.010441434451070381e+04
1.320000000000000950e+00	1.979017945137481001e+04
1.330000000000000959e+00	2.000142884498034618e+04
1.340000000000000968e+00	2.016560471738471097e+04
1.350000000000000977e+00	2.068265867702715332e+04
1.360000000000000986e+00	2.024607460373721551e+04
1.370000000000000995e+00	2.052543867765684990e+04
1.380000000000001004e+00	2.035837014821337289e+04
1.390000000000001013e+00	1.997090593482293480e+04
1.400000000000001021e+00	1.963338510357622727e+04
1.410000000000001030e+00	2.025182989353351877e+04
1.420000000000001039e+00	1.905072574221010291e+04
1.430000000000001048e+00	1.890333104828215437e+04
1.440000000000001057e+00	1.932690225905906118e+04
1.450000000000001066e+00	1.914169168885907857e+04
1.460000000000001075e+00	1.915157287233869283e+04
