time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.299974521	0.0199900214	1.8864771e-05	-4.92253114e-06	0.542749171	-0.00161359471	-0.0216992001	0.306056645	0	0	23.283907
0.02	0.299295233	0.0200446643	9.52938076e-05	-2.95981213e-05	0.541272584	0.00553804064	-0.0528834665	0.305967865	0.0981559021	0.023836415	18.676869
0.03	0.297633299	0.020108435	0.000230381271	-4.16054241e-05	0.539217283	0.00444249108	-0.0765394239	0.306353617	0.103662653	0.0238329491	20.343906
0.04	0.294910736	0.0202379156	0.00045487875	1.01223579e-05	0.536706233	-0.0461361663	-0.12280524	0.307212268	0.100400088	0.0238088342	19.007819
0.05	0.291068294	0.0204488072	0.000733290174	0.000134439902	0.533965838	-0.130688424	-0.158675031	0.308632347	0.0711114626	0.0237713078	16.828377
0.06	0.286064148	0.0207054951	0.00102774907	0.000307803088	0.531036282	-0.224031644	-0.156772409	0.310777421	0.0639548901	0.0237031752	18.986676
0.07	0.279988244	0.0210171418	0.00132264523	0.000520482761	0.528129729	-0.314763622	-0.102751344	0.313531819	0.061449509	0.023574179	17.709777
0.08	0.272982378	0.0214176434	0.00162769029	0.000785066117	0.525513931	-0.408529279	0.0148411385	0.316683687	0.0903719144	0.0233668407	18.690258
0.09	0.265395732	0.0218937266	0.00200090767	0.00100587098	0.522864733	-0.420924238	0.083837372	0.320033031	0.0612659961	0.0230664675	17.839362
0.1	0.257408142	0.0224036124	0.00239825339	0.00133722391	0.520301656	-0.522315011	0.150737871	0.323592039	0.0507908429	0.0228279475	17.57069
0.11	0.249191704	0.0229831848	0.00285309791	0.001700249	0.518351046	-0.591324116	0.276621207	0.326682771	0.0664539777	0.0225941179	17.890959
0.12	0.240515419	0.0235168358	0.00335199209	0.00212899466	0.516818528	-0.688080248	0.542184158	0.330068518	0.0714434405	0.0222634802	17.973985
0.13	0.231733724	0.0241349145	0.00398227133	0.00256629727	0.515763127	-0.743315924	0.805522933	0.333209074	0.0610514171	0.0216521941	21.163442
0.14	0.222605466	0.0246629062	0.00474610768	0.00294276039	0.514814298	-0.704833118	1.14877817	0.336676092	0.0802289018	0.0210671673	19.819117
0.15	0.213418151	0.0252580046	0.00562735705	0.00333851709	0.514259465	-0.663371269	1.49970954	0.339945435	0.0496311508	0.0202901256	18.285727
0.16	0.204193106	0.0258784918	0.00663970783	0.0037213847	0.513936471	-0.589412516	1.86224037	0.343139036	0.0585399553	0.0195294623	16.382482
0.17	0.195075151	0.0265528706	0.00778759271	0.00407898057	0.513892634	-0.474797125	2.21196439	0.345971768	0.0649220817	0.018754354	18.562121
0.18	0.186186226	0.0272942567	0.00900409989	0.00438325105	0.51418202	-0.333213475	2.54599541	0.348278529	0.0931963146	0.0180295632	19.547409
0.19	0.177614107	0.0280855882	0.0102853022	0.00463395162	0.514765442	-0.182632873	2.85465392	0.350356166	0.0543347659	0.0173784985	21.428538
