time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.650041474	0.0199908963	3.77035334e-05	-6.78145367e-06	0.542695608	0.00352884718	-0.0409397745	0.306023951	0	0	20.890441
0.02	0.649226091	0.0203906952	6.35028559e-05	-3.26832828e-05	0.541150493	0.00912152763	-0.128565087	0.306476349	0.0497981463	0.0569281666	18.764232
0.03	0.646857149	0.0210128775	8.3549984e-06	-3.34485405e-05	0.53911172	-0.0155853982	-0.23972819	0.308526018	0.0988145701	0.0569361491	15.420463
0.04	0.64255769	0.0216751355	-0.000138275364	2.37761611e-05	0.536738333	-0.0910271402	-0.391294995	0.31261679	0.0753296213	0.0570017253	16.278041
0.05	0.636144704	0.0221876542	-0.000462357904	0.000141674741	0.534296467	-0.188465147	-0.537824825	0.319008826	0.0822890943	0.057286413	16.482252
0.06	0.627600782	0.0223806639	-0.00102417613	0.000297278115	0.531839834	-0.289566889	-0.646432945	0.327837469	0.0714174503	0.0582855416	17.029634
0.07	0.617046585	0.0221557475	-0.0018373388	0.000481797482	0.529552325	-0.386365943	-0.701610017	0.339043569	0.0604165999	0.061103379	17.101532
0.08	0.604696657	0.0214530329	-0.00289029758	0.000706323721	0.52762326	-0.486374043	-0.687440499	0.35199367	0.0685654457	0.0631761101	18.662972
0.09	0.591244876	0.0202288526	-0.00407499111	0.000960959356	0.525391831	-0.588318743	-0.805271395	0.366078766	0.0745181703	0.0630929596	16.424299
0.1	0.577006358	0.0185134255	-0.00551266455	0.00123545636	0.52386836	-0.665642839	-0.782706825	0.380896973	0.0445425965	0.0629893135	17.384813
0.11	0.562576974	0.0164848744	-0.00707283344	0.00153557337	0.522858058	-0.73656326	-0.725434687	0.39547437	0.066891024	0.0629282816	17.740384
0.12	0.548036024	0.0140895904	-0.00867744976	0.00183902453	0.521757596	-0.780623984	-0.492815508	0.409334094	0.0508207034	0.0629402	17.32416
0.13	0.534079648	0.0117988967	-0.0102813582	0.00214625597	0.52113778	-0.802995153	-0.322449956	0.421138582	0.0594311559	0.0630365394	15.942083
0.14	0.520916281	0.00968763109	-0.0118491868	0.00245066622	0.520852449	-0.79738771	-0.179584355	0.4307143	0.0462851668	0.0632183406	16.668299
0.15	0.508618001	0.00778951151	-0.0133742436	0.00277529285	0.520791805	-0.784739223	-0.0413792994	0.435607938	0.046441622	0.0634813801	14.402154
0.16	0.497142002	0.00615169801	-0.0148137719	0.00309222447	0.520828709	-0.744618101	0.0973243619	0.438569961	0.0583351971	0.06291458	17.53227
0.17	0.486339202	0.00485823005	-0.0161443738	0.00338972355	0.520979668	-0.67046423	0.224065439	0.440153537	0.0425226932	0.0615262207	16.909013
0.18	0.475976227	0.00391153011	-0.0173979302	0.0036520097	0.521315601	-0.574410893	0.33947415	0.440980656	0.0480562938	0.0608458635	16.676123
0.19	0.465847968	0.00323035661	-0.018569363	0.00387981762	0.521814553	-0.470356719	0.428429583	0.441055249	0.0464064068	0.0607638888	17.467655
0.2	0.455841174	0.00265958744	-0.0196461039	0.00408988863	0.522462426	-0.398523916	0.504276103	0.439996732	0.0617742185	0.0621455194	15.471001
0.21	0.446066888	0.0020820752	-0.0206543564	0.00434160555	0.522963953	-0.42206335	0.482584718	0.438422567	0.0600763148	0.0651539835	16.765453
0.22	0.436391606	0.00174179668	-0.0216162127	0.00454228122	0.523815653	-0.398414093	0.490698422	0.436088994	0.0595007224	0.0373003742	17.495447
0.23	0.426795511	0.00159032784	-0.0224452758	0.00472864497	0.524459806	-0.353389632	0.624358323	0.434059793	0.0664005152	0.0357867948	16.758414
0.24	0.417148765	0.00165553137	-0.0232075718	0.00480975094	0.525173308	-0.272370211	0.65069783	0.431947811	0.0615016305	0.03977245	14.256145
0.25	0.407305633	0.00194743714	-0.0238669016	0.0048963758	0.526237225	-0.270503229	0.645987483	0.429881545	0.060418249	0.0405093307	16.758384
0.26	0.397224162	0.00246776213	-0.0244416498	0.00497332223	0.52751085	-0.30026753	0.617266415	0.42782398	0.0432408607	0.0429615136	17.539357
0.27	0.386934586	0.00320754091	-0.0249603842	0.00502146486	0.528805036	-0.342061916	0.561006809	0.425699009	0.0600638005	0.0453394176	15.154334
0.28	0.376425929	0.00415237753	-0.0254609151	0.00503886106	0.530212074	-0.388808347	0.51055255	0.423489644	0.0624435141	0.0474460504	14.806239
0.29	0.365681557	0.00525749565	-0.0259413092	0.00502403501	0.531677548	-0.41882487	0.466320583	0.421122207	0.0379609105	0.0515332222	14.73381
0.3	0.354706152	0.00645457023	-0.0263414634	0.00498727321	0.533014663	-0.444113828	0.379993128	0.418441606	0.0656698648	0.0567200555	16.834691
0.31	0.343461595	0.00767921159	-0.0267046736	0.00492310843	0.534314242	-0.456883531	0.277769778	0.415445262	0.0501916494	0.0604318121	17.404288
0.32	0.331962727	0.00888916534	-0.0270586206	0.00482707164	0.535674861	-0.462599527	0.184521188	0.412175884	0.0396571446	0.0606182532	16.061042
0.33	0.320384913	0.0100487497	-0.0273966381	0.00469610608	0.536933307	-0.43499669	0.0962644933	0.408692882	0.0659888711	0.0577966218	15.353903
0.34	0.308956006	0.0110673638	-0.0277304722	0.00448062482	0.538107612	-0.376925883	-0.0167416042	0.405005705	0.0772120506	0.052225395	14.553055
0.35	0.297756394	0.0118251804	-0.0280890981	0.0041708898	0.539235574	-0.286137254	-0.127268175	0.401231989	0.0531080701	0.0502993173	13.827448
0.36	0.286802232	0.0123425827	-0.028436971	0.00380345063	0.540171294	-0.194656573	-0.253022055	0.397356822	0.0722581936	0.0513669265	13.359626
0.37	0.276074034	0.012661613	-0.0287815228	0.00339796433	0.540853139	-0.118004895	-0.385919575	0.393402265	0.0808064073	0.05216502	14.018826
0.38	0.265524841	0.0128082176	-0.0291731616	0.00297277842	0.54127691	-0.0769523522	-0.502087525	0.389413178	0.0675752605	0.052754295	13.664936
0.39	0.255129757	0.0128045621	-0.0295962799	0.00253523254	0.541373044	-0.0770039859	-0.602598352	0.385385661	0.131367987	0.0530864383	14.234069
0.4	0.244892534	0.0127006416	-0.0300429932	0.00208482908	0.541152032	-0.103698557	-0.693873028	0.381297358	0.0980535326	0.0531986203	18.337265
0.41	0.234826955	0.012561656	-0.0305400618	0.0016251993	0.540626707	-0.157318259	-0.758570179	0.377198329	0.0834815195	0.0533161576	17.373189
0.42	0.224947548	0.0124770545	-0.031095332	0.00117145466	0.539872839	-0.242048757	-0.786496449	0.373114137	0.0410914646	0.0540851653	17.090988
0.43	0.215308443	0.0124873468	-0.031710408	0.000715608467	0.538924917	-0.338658131	-0.797803699	0.3689639	0.0877172196	0.0568426764	15.015138
0.44	0.205816072	0.0124587256	-0.0323742263	0.000264615795	0.537755092	-0.440559855	-0.794097238	0.364667246	0.0881436562	0.0629981079	16.129636
0.45	0.196453632	0.0122618068	-0.0330789221	-0.000177216863	0.536319825	-0.54627787	-0.786826234	0.360150861	0.0924600319	0.0633898848	16.55156
0.46	0.186983419	0.0112498596	-0.0338513223	-0.0005945313	0.534671366	-0.676696031	-0.758245427	0.355547084	0.104414439	0.064831916	16.574331
0.47	0.176529438	0.00934407875	-0.0347481362	-0.000991199356	0.532835755	-0.813004853	-0.733087899	0.349920245	0.111457002	0.112168793	16.62865
0.48	0.164949021	0.00678941599	-0.0358110939	-0.00147834485	0.531365376	-0.777499975	-0.59984833	0.343255204	0.11223155	0.111627931	16.449077
0.49	0.153164109	0.00408142856	-0.0369593083	-0.002083405	0.530197192	-0.608819766	-0.365721248	0.335645188	0.0629941044	0.108236242	16.300363
0.5	0.142772319	0.00184032311	-0.0382032657	-0.00274344121	0.529593653	-0.39670485	-0.19009597	0.326858103	0.0433101557	0.106673407	15.795072
0.51	0.134534014	0.000481295558	-0.0395165875	-0.00339181217	0.529711811	-0.262277557	-0.00540143193	0.317761859	0.0650570229	0.0972108359	14.304114
0.52	0.128640615	3.18920521e-05	-0.0407861945	-0.00396702546	0.530154719	-0.247906312	0.225391977	0.310177154	0.0559308678	0.0453341815	14.284863
0.53	0.12482862	3.7793792e-05	-0.0420557622	-0.00453138812	0.531171263	-0.200408671	0.408994945	0.30410851	0.0778917341	0.0427013174	15.488894
0.54	0.123216973	8.78556328e-05	-0.0433530879	-0.00508961919	0.532552915	-0.136380526	0.578598273	0.30042313	0.0403860942	0.041346142	16.741898
0.55	0.123707935	6.92177789e-05	-0.0446809763	-0.00562714683	0.534186258	-0.0611622639	0.746101679	0.298747252	0.0338910984	0.0406637968	14.697766
0.56	0.125441364	3.96177426e-05	-0.0460083677	-0.00613670552	0.535936136	0.0186041677	0.923432696	0.29859622	0.0356601276	0.0403251666	16.05621
0.57	0.127734128	3.70255451e-05	-0.0473208849	-0.00653055201	0.537419615	0.000336662346	0.996527073	0.299151861	0.053805202	0.0401595973	14.108606
0.58	0.12975075	5.46586516e-05	-0.0486104943	-0.00687073866	0.538952486	0.0160602431	1.0336502	0.300207656	0.0627018644	0.0299885765	14.08356
0.59	0.131687922	3.52279785e-05	-0.0498660396	-0.00715431017	0.540473368	0.0449534392	1.03192672	0.301837587	0.0344686826	0.0232877452	15.706072
0.6	0.132730383	2.87195858e-05	-0.0510104293	-0.00748229152	0.541254584	0.175757684	1.07996522	0.30368409	0.100494728	0.00385226014	14.365516
0.61	0.13326857	8.67452083e-05	-0.0521105189	-0.00771174752	0.541899001	0.220739891	1.06798732	0.304924783	0.112305077	0.0350943843	15.969371
0.62	0.133870742	0.000195604873	-0.053173106	-0.00786858174	0.542310956	0.223890952	1.04395225	0.306050539	0.0983579872	0.0164242988	15.874986
0.63	0.134951979	0.000308568229	-0.0542118804	-0.00793938438	0.5424085	0.180341244	0.998303542	0.307062584	0.0803411708	0.0290689478	16.645881
0.64	0.136514872	0.000628275784	-0.0553129079	-0.00794197359	0.542385424	0.11014292	0.907154112	0.305964739	0.127899228	0.0207156735	16.319283
0.65	0.14042279	0.00138307253	-0.0564098507	-0.00788730562	0.542104414	0.0749418228	0.852766533	0.305227303	0.122519782	0.0400647176	13.867069
0.66	0.146407277	0.00229465305	-0.0575030165	-0.0077810265	0.541539301	0.0415545624	0.798516734	0.304928262	0.0918718565	0.0585842674	16.084344
0.67	0.152833331	0.00280008199	-0.0585774841	-0.0076288002	0.540717562	0.0120406956	0.731558417	0.305934063	0.0674658612	0.0693501229	17.371963
0.68	0.158304279	0.00252002894	-0.059630888	-0.00744236926	0.539570775	0.00820953767	0.656995171	0.308823074	0.124338022	0.0693693237	14.009282
0.69	0.162777245	0.00168014311	-0.0606556394	-0.00722275993	0.538118549	0.0327070181	0.575293907	0.313196359	0.122662214	0.0693882022	17.333105
0.7	0.16887352	0.00155234669	-0.0616752814	-0.00697067953	0.536459619	0.0716365995	0.464199912	0.315964654	0.0981860303	0.0694074188	13.925591
0.71	0.177041887	0.00232763616	-0.0627452113	-0.00670644179	0.534657707	0.160451205	0.347675746	0.316601074	0.0974792368	0.0615604448	13.926804
0.72	0.18729358	0.00421298324	-0.0638475988	-0.00644504528	0.532630121	0.294984143	0.232079607	0.315698583	0.130855768	0.0518331571	16.035504
0.73	0.199087438	0.00729813445	-0.0649396594	-0.00619357095	0.530260468	0.459253262	0.114998822	0.314051024	0.120776359	0.0463514556	15.379339
0.74	0.207803601	0.00929288502	-0.0659913781	-0.00594913802	0.527458463	0.63574839	0.00438505406	0.313960316	0.0674429744	0.0695135835	16.388084
0.75	0.211464036	0.00905557	-0.067249913	-0.005723631	0.525752978	0.733246823	0.0164660077	0.315905387	0.0656179211	0.0695536894	18.216249
0.76	0.211153044	0.00705799779	-0.0686180071	-0.005443465	0.524619042	0.709418568	0.0504814503	0.319278779	0.0367309579	0.066947151	14.838589
0.77	0.208575652	0.00447040471	-0.070099187	-0.00523377095	0.524044973	0.748955397	0.205304437	0.323821629	0.0385447623	0.0695500797	16.520762
0.78	0.205774021	0.00247443945	-0.0716029966	-0.00500079494	0.524182082	0.704632203	0.352006318	0.326983114	0.0713757743	0.0492122777	15.106236
0.79	0.204534978	0.00172305818	-0.0731116072	-0.0047509907	0.524870365	0.630182869	0.427014562	0.327509697	0.0890206125	0.0597646678	14.725018
0.8	0.204187603	0.00173688465	-0.0746427391	-0.00449317407	0.526055777	0.531336987	0.44956798	0.325623561	0.0389815793	0.0567730468	15.349291
0.81	0.204112124	0.00219547889	-0.0761825442	-0.00421697409	0.527591827	0.402979682	0.426129037	0.322185051	0.045640955	0.0431095099	16.020523
0.82	0.203326476	0.0026931176	-0.0777040492	-0.0039266775	0.529410964	0.26643479	0.370895249	0.318193437	0.0449836731	0.0296476575	16.838505
0.83	0.202367312	0.00339951828	-0.0792128707	-0.00362916623	0.531408909	0.141567179	0.294909785	0.314187753	0.0442036938	0.0449152148	14.760894
0.84	0.198721341	0.0030681072	-0.0806935095	-0.00332465389	0.533418012	0.0242902041	0.231993461	0.312079332	0.0400579676	0.0693221136	15.775039
0.85	0.192661266	0.00177776475	-0.0821184309	-0.00290519965	0.534891073	-0.20561748	0.276951616	0.312425661	0.113758273	0.0693025078	13.839122
0.86	0.187981148	0.00105646611	-0.0835510838	-0.00250305428	0.536404306	-0.347442038	0.275868076	0.311891493	0.115799593	0.0625314985	16.173492
0.87	0.184345854	0.00067607637	-0.0849923552	-0.00211822481	0.537869123	-0.446810413	0.232005251	0.31007754	0.0845246685	0.034228417	13.129913
0.88	0.181588523	0.000482610354	-0.0864291608	-0.00177268172	0.539260027	-0.483248371	0.132756424	0.307359493	0.100066561	0.0235762429	14.537494
0.89	0.179633581	0.000376810952	-0.087828756	-0.00146868238	0.540529774	-0.462095921	-0.0292763703	0.304222105	0.0523975197	0.01674132	16.028427
0.9	0.178498413	0.000207096362	-0.089208658	-0.00119822094	0.541667133	-0.412523139	-0.184963252	0.302402631	0.0707179997	0.0124666598	13.681963
0.91	0.178338696	9.29360431e-05	-0.090595931	-0.000956609367	0.542614003	-0.346305615	-0.299954926	0.301612211	0.0786181107	0.0138108626	15.161672
0.92	0.179110039	8.10896888e-05	-0.0919886614	-0.000744310293	0.543297253	-0.261391703	-0.365622794	0.301435635	0.0830427838	0.0342171094	15.783195
