time_s	ee_error_m	orientation_error	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	0.648924387	0.0194367244	-4.28694373e-05	7.06080905e-06	0.542730426	-0.0240483518	0.0332464543	0.306497412	0	0	23.624229
0.02	0.646439844	0.0197341588	-0.000238666934	3.63628009e-05	0.541099082	-0.105380588	0.119884491	0.308182677	0.126874846	0.0811547617	19.279609
0.03	0.642198603	0.0195031405	-0.000609497341	0.000102402411	0.53869252	-0.235987152	0.256275085	0.311945273	0.0368715177	0.0475139386	21.000444
0.04	0.635782924	0.0194813275	-0.00107311326	0.000208589142	0.535564877	-0.394773081	0.423053647	0.317802584	0.127552605	0.0617845319	19.665243
0.05	0.626754294	0.0194411828	-0.00166751015	0.000363762206	0.531810716	-0.573267512	0.629440779	0.3262247	0.0721078783	0.0756447268	17.98268
0.06	0.614579343	0.0201807989	-0.00244327478	0.000588739627	0.527517099	-0.801173694	0.893502274	0.33550319	0.111822743	0.0733630457	18.87736
0.07	0.599442629	0.0216231408	-0.0033211075	0.000888441553	0.522810943	-1.06741857	1.22616135	0.345081654	0.0656040257	0.0548805307	20.405321
0.08	0.5816226	0.023158334	-0.00427068084	0.00128954778	0.517893932	-1.38485627	1.65531282	0.353911443	0.0970953237	0.0422942627	19.881867
0.09	0.560933719	0.0242694657	-0.00523773084	0.00175485615	0.512807408	-1.69936285	2.17164599	0.3618817	0.108929345	0.0829027081	21.248682
0.1	0.538233815	0.0259952028	-0.00624342687	0.00216520505	0.507520726	-1.81652661	2.64578916	0.368492076	0.0770677478	0.058685265	19.728389
0.11	0.514006129	0.0282194838	-0.00720450964	0.00266491229	0.502382706	-1.95988104	2.98176956	0.37415364	0.0962544884	0.0748547162	18.198974
0.12	0.488296672	0.0304945256	-0.00812381979	0.00319522404	0.497946341	-2.05492716	3.31913645	0.378207167	0.0912608767	0.0988875276	20.769349
0.13	0.461578956	0.0322231438	-0.00889028971	0.00369490155	0.494085831	-2.05955217	3.61566699	0.381015776	0.0681530744	0.0823034107	17.842135
0.14	0.434347592	0.0348154244	-0.00938834604	0.0041473223	0.490695989	-1.98894535	3.87488838	0.382605499	0.0740210556	0.0629339427	18.98907
0.15	0.407047844	0.0373020625	-0.00959392757	0.00456169087	0.487843385	-1.87011713	4.11120082	0.383852434	0.0463855315	0.0815755788	18.839174
0.16	0.380064294	0.0394780978	-0.00946576707	0.00489205156	0.485398845	-1.69054898	4.32648349	0.384505939	0.0773028968	0.0762120283	18.576117
0.17	0.353538872	0.0399981366	-0.00899655502	0.00520152075	0.483161925	-1.5225948	4.60573768	0.384763617	0.0555211183	0.080547151	16.807109
0.18	0.327987711	0.0398725542	-0.00822886757	0.00539068039	0.481603766	-1.27663619	4.81465635	0.385293108	0.0657112943	0.065882647	18.700843
0.19	0.303636402	0.0392839085	-0.00718167067	0.00538936642	0.48042336	-0.905938516	5.04497908	0.386366542	0.0450433453	0.0596417882	18.966974
0.2	0.2804855	0.0384288991	-0.00586698762	0.00526931943	0.479994294	-0.603003619	5.17718381	0.38734992	0.0697182862	0.0792255663	17.667448
0.21	0.258846928	0.0368056495	-0.00443706897	0.00507603371	0.479538673	-0.377535658	5.05925262	0.387851153	0.0843347229	0.082696513	18.2163
0.22	0.238539873	0.0355708402	-0.00297767428	0.00477443999	0.48031436	-0.181414647	4.9913417	0.38940586	0.0774867872	0.0766695345	18.189239
0.23	0.219843016	0.0349140093	-0.00144895831	0.00438719806	0.48214671	-0.0215581937	4.94206322	0.388969007	0.0666023202	0.0590577221	18.081618
0.24	0.203336313	0.0346189193	0.000230646659	0.00393928857	0.48495397	0.0776601196	4.8834057	0.387446531	0.0739214515	0.043975263	18.845406
0.25	0.189282636	0.0352534981	0.00213054788	0.00343979102	0.488558178	0.120335109	4.78155899	0.385903543	0.050453472	0.0437093989	18.983449
0.26	0.176910905	0.0361399064	0.00429622553	0.00301552447	0.492392935	0.017695383	4.74557492	0.383980842	0.0573689909	0.0620222942	17.220047
0.27	0.166219446	0.0376086313	0.00658511276	0.00253198075	0.496850229	-0.0821653909	4.65741323	0.38199213	0.0538221735	0.0456151245	17.9045
0.28	0.156393912	0.0392022865	0.00900702589	0.00193235288	0.501528061	-0.118506378	4.59855861	0.379965909	0.0350809694	0.0607561833	18.712323
0.29	0.147581997	0.0408061107	0.0115631297	0.00132511133	0.506573616	-0.228502976	4.49860595	0.377452325	0.0605340648	0.0356476113	19.243244
0.3	0.139837346	0.0421626125	0.0142769931	0.000723803944	0.511738153	-0.372126226	4.34396887	0.374892998	0.0687576222	0.0301049909	17.98564
0.31	0.132748508	0.0431992745	0.0170464842	3.9282463e-05	0.516683621	-0.450081747	4.1048685	0.372187119	0.0467207949	0.0540597412	20.034131
0.32	0.125725336	0.0447512879	0.0198434219	-0.000649029808	0.521823575	-0.572561798	3.86922232	0.369367417	0.0503916973	0.0735090279	15.813381
0.33	0.118783762	0.0466285765	0.0226949105	-0.00134477977	0.526829706	-0.704127816	3.59729927	0.366043284	0.0747720445	0.0492391474	18.888355
0.34	0.111862279	0.0482932189	0.0255553918	-0.00207669455	0.531571462	-0.819815435	3.28487611	0.362510584	0.0579898193	0.0478643835	16.91417
0.35	0.104621556	0.0492459402	0.0283786124	-0.00285022266	0.536008828	-0.919112687	2.94220627	0.358588719	0.0335748412	0.0635033555	18.253892
0.36	0.0974436019	0.0493648118	0.0311762684	-0.00364009595	0.53990337	-1.0076242	2.59317642	0.354051407	0.0837970149	0.0324153363	16.377651
0.37	0.090127488	0.048756828	0.0338830491	-0.00442354474	0.543200314	-1.10266205	2.27224879	0.349672938	0.0852116844	0.0548221726	18.097488
0.38	0.0828169831	0.0481756627	0.0364564966	-0.00519403417	0.545898806	-1.20930841	1.98931624	0.345533069	0.0761618213	0.0396711535	15.706688
0.39	0.0765536802	0.0480143249	0.0389915267	-0.00595158445	0.547852083	-1.30774787	1.74751461	0.342070219	0.110299448	0.0169793756	16.244524
0.4	0.0712133238	0.0481782284	0.0415231765	-0.00669125526	0.549120314	-1.38287438	1.53571781	0.339156672	0.0968134028	0.0286941968	16.047196
0.41	0.0660442736	0.0482864213	0.044010455	-0.00743207351	0.549717726	-1.4138528	1.33947612	0.336404671	0.0622341363	0.0461680618	18.099196
0.42	0.0613196328	0.0477851252	0.0464560045	-0.00817482015	0.549710406	-1.39841668	1.16578719	0.333980246	0.0368243814	0.0198564867	16.48202
0.43	0.0572850199	0.0460739316	0.0488421313	-0.00893682397	0.549156093	-1.33311308	1.0215086	0.332032297	0.0990147309	0.0347822441	19.939745
0.44	0.0532764192	0.0444994579	0.0511468641	-0.00971717628	0.548143999	-1.21801708	0.885709005	0.330019117	0.105795478	0.0468056651	19.432513
0.45	0.0482564645	0.0423085075	0.0533088237	-0.0105189743	0.546774338	-1.08134896	0.788952012	0.327736509	0.108000437	0.0578106414	18.660907
0.46	0.0423232076	0.0396545718	0.0552575	-0.011352045	0.545024186	-0.926677473	0.767243055	0.325382474	0.121673424	0.0466878349	17.35062
0.47	0.0359199501	0.0360961864	0.0569943626	-0.0122563089	0.543001082	-0.730981427	0.803731569	0.322960578	0.129603093	0.0436001907	17.886061
0.48	0.0311328089	0.0329627546	0.0584112812	-0.0131060636	0.541372396	-0.676587043	0.830874984	0.320801769	0.125699742	0.0215065456	18.585211
0.49	0.0283372907	0.0297545575	0.0596290385	-0.0138611011	0.539972588	-0.738804082	0.808032083	0.318935693	0.1085547	0.043182055	16.689672
0.5	0.0263357168	0.0270848246	0.0605365826	-0.0146503162	0.53928713	-0.653483602	0.866892914	0.317252476	0.0792073074	0.0471922968	17.681549
0.51	0.0257493737	0.0247988749	0.0611067855	-0.015425791	0.539228297	-0.594984978	1.01992149	0.316093882	0.0963211156	0.0237448551	18.224503
0.52	0.0250118834	0.0241162418	0.0614762822	-0.0161311538	0.539518115	-0.625321744	1.22976954	0.315850221	0.0756381576	0.0343635284	16.368823
0.53	0.0236731478	0.0237668899	0.0616788005	-0.0167903093	0.540334736	-0.644707934	1.40174316	0.316034589	0.050771554	0.0335752535	18.745767
0.54	0.0209435213	0.0245441474	0.0617268552	-0.017421792	0.541613123	-0.648056746	1.53856121	0.316741859	0.0590848631	0.0256532872	18.938671
0.55	0.0171611843	0.0262249711	0.0616353708	-0.0180325469	0.54328396	-0.616040115	1.64797432	0.317837261	0.0310555281	0.0276181083	17.10892
0.56	0.0131046701	0.0284890838	0.061507299	-0.0187279454	0.544546169	-0.445228837	1.79166747	0.319148537	0.083145687	0.0194035779	19.712643
0.57	0.011176945	0.0305996892	0.0612343407	-0.0193578151	0.546039344	-0.345708964	1.84426335	0.319768785	0.040776616	0.0174654395	17.18194
0.58	0.0118069701	0.0320163262	0.060869543	-0.0199139614	0.547614355	-0.267792557	1.81813613	0.319723867	0.0474325743	0.0133165441	17.064669
0.59	0.0143214655	0.0333355024	0.060477962	-0.0204030035	0.549194257	-0.200481461	1.71687233	0.31926857	0.0489234229	0.0264482145	19.871862
0.6	0.0185612024	0.0347896128	0.0601467513	-0.020819493	0.550589726	-0.164482552	1.53496983	0.318662531	0.105421971	0.03622829	17.464532
0.61	0.0235515494	0.0361121359	0.0599011167	-0.0211784846	0.551712802	-0.156110299	1.27844329	0.317777125	0.0828680712	0.0118788094	18.6998
0.62	0.0293217529	0.0375610238	0.0597397963	-0.0214997052	0.552577646	-0.151700051	0.996738814	0.317043847	0.0776050085	0.0249899108	18.334473
0.63	0.03512277	0.0391337261	0.0596350025	-0.0217772446	0.553120875	-0.153476971	0.693721636	0.316344618	0.0467116618	0.0176448941	19.349827
0.64	0.0398356073	0.0403573486	0.0594931575	-0.0220253881	0.553446941	-0.145919881	0.396406442	0.315250711	0.110861591	0.0294019328	16.336237
0.65	0.0433960289	0.0407783557	0.059350152	-0.0222768741	0.553502177	-0.0862540985	0.127607849	0.314024182	0.12383937	0.0166912218	17.173081
0.66	0.0457561341	0.0406936631	0.0592127612	-0.0225360609	0.553221887	0.00406448795	-0.119196553	0.312624383	0.0792471166	0.0188044653	19.593199
0.67	0.0465204625	0.0396304929	0.0590924172	-0.0228103707	0.55261312	0.116701685	-0.351273666	0.310973023	0.0805143771	0.0276739228	18.614079
0.68	0.0472331979	0.0386911183	0.0590104656	-0.0231197231	0.5516462	0.265341098	-0.545370181	0.309598796	0.0951315643	0.0157448657	18.530334
0.69	0.0480542796	0.0379770463	0.0589708647	-0.0234660517	0.550267876	0.442107727	-0.705062839	0.308519059	0.140171456	0.00820910527	17.78168
0.7	0.0480011476	0.0366592651	0.0589618066	-0.0238380916	0.54854961	0.633910778	-0.850078525	0.307390584	0.0879517115	0.0300830531	18.324286
0.71	0.0476891385	0.0354769492	0.0589490291	-0.0242479346	0.546563368	0.854848	-0.954844454	0.30631286	0.0988139027	0.0158371491	19.638173
0.72	0.0464739689	0.0343054667	0.0589217802	-0.0246878079	0.544225298	1.09488012	-1.01317403	0.305251969	0.110222227	0.0504568735	17.802634
0.73	0.0446616734	0.0334149319	0.0589063279	-0.0251523084	0.541406816	1.33950527	-1.00088355	0.305075368	0.104814545	0.0151382374	18.730784
0.74	0.0415754661	0.0320807599	0.0587431981	-0.0254855331	0.53892565	1.36825846	-0.74834085	0.305416672	0.0676541124	0.0121856024	17.667399
0.75	0.0374623079	0.0300830494	0.0584953073	-0.0256291754	0.536463482	1.16802723	-0.362001085	0.305819153	0.0416885773	0.0199776055	17.917902
0.76	0.033445615	0.0281354472	0.0581192081	-0.0257474705	0.534761501	1.02622802	0.0864840588	0.306032941	0.0379530992	0.0270856856	18.003216
