time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	1	0	0.189019	2.82842712	0	0	0	0.85950702	0	-2.33671234e-05	2.37164041e-05	0.542761239	-0.0399571725	0.0469170856	0.306320567	0	0	23.726842
0.02	1	0	0.18932866	2.82842712	0	0	0	0.857175283	0	-0.00023526683	9.89417989e-05	0.5412359	-0.1648045	0.152549342	0.308089255	0.133986984	0.0961644826	21.557026
0.03	1	-9.00180831e-21	0.189486968	2.82842712	-6.3652397e-21	6.3652397e-21	0	0.853625902	0	-0.000687699265	0.000232344505	0.538942782	-0.365181277	0.299373253	0.312666112	0.078486789	0.0942070711	22.336386
0.04	1	-9.00180831e-21	0.189610199	2.82842712	-6.3652397e-21	6.3652397e-21	0	0.848574228	0	-0.00133587915	0.000433979635	0.535972568	-0.616255195	0.479531841	0.320411024	0.0984819542	0.0922441456	22.051954
0.05	1	-1.50030138e-20	0.189702446	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.841873391	0	-0.0022355413	0.000684930063	0.532433522	-0.874018859	0.718555684	0.331081622	0.103551956	0.090437462	21.28628
0.06	1	-2.10042194e-20	0.189772407	2.82842712	-1.4852226e-20	1.4852226e-20	0	0.833656918	0	-0.00347138693	0.000981385021	0.528379072	-1.12819161	1.04344693	0.343984986	0.142952335	0.088830566	23.252814
0.07	1	-1.80036166e-20	0.189825691	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.824137961	0	-0.00497599042	0.00132150292	0.523879443	-1.36869205	1.45699658	0.358800146	0.0599363128	0.0872061695	20.641396
0.08	1	-1.80036166e-20	0.189866386	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.813385912	0	-0.00667254066	0.00168920314	0.519105834	-1.59231913	1.98707147	0.374039824	0.106833626	0.0854889041	20.47483
0.09	1	-1.80036166e-20	0.189897515	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.801297724	0	-0.00861651521	0.0019844797	0.514220035	-1.6584383	2.56187424	0.3877829	0.111853576	0.0836820216	22.069672
0.1	1	-1.80036166e-20	0.18992135	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.787642979	0	-0.0106949962	0.00227558197	0.50895576	-1.69707562	3.08428103	0.398667266	0.0976666247	0.0818462608	21.384504
0.11	1	-5.70114526e-20	0.189939609	2.82842712	-4.03131847e-20	4.03131847e-20	0	0.772038565	0	-0.0128810554	0.00242120325	0.503909405	-1.57252821	3.67351996	0.406577863	0.0849999328	0.0799875457	21.071309
0.12	1	-5.70114526e-20	0.189953602	2.82842712	-4.03131847e-20	4.03131847e-20	0	0.753948476	0	-0.0150546166	0.00238902014	0.499134157	-1.29839986	4.31451195	0.413359619	0.133292896	0.0781668973	21.8931
0.13	1	-6.00120554e-20	0.189964327	2.82842712	-4.24349313e-20	4.24349313e-20	0	0.73282516	0	-0.0173116341	0.00217978369	0.494887447	-0.978467341	4.95563538	0.418515383	0.116050528	0.0763884397	21.359066
0.14	1	-6.60132609e-20	0.189972549	2.82842712	-4.66784244e-20	4.66784244e-20	0	0.708491429	0	-0.0196033715	0.00178480295	0.49104875	-0.578666193	5.61449264	0.42036946	0.103865316	0.0746546339	21.385927
