time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
0.01	1	0	0.189019	2.82842712	0	0	0	0.859760335	0	-0.000106609536	4.03400894e-06	0.542704923	-0.0121228032	0.0482915979	0.30683822	0	0	27.515477
0.02	1	0	0.18932866	2.82842712	0	0	0	0.857234669	0	-0.000479379914	4.0945623e-05	0.541075884	-0.0896139155	0.156751199	0.309256882	0.144093121	0.106210396	21.857039
0.03	1	-2.40048222e-20	0.189486968	2.82842712	-1.69739725e-20	1.69739725e-20	0	0.853335568	0	-0.00118187456	0.000119291698	0.538691976	-0.218083996	0.305242988	0.314177367	0.111529272	0.0962470086	20.510034
0.04	1	-1.20024111e-20	0.189610199	2.82842712	-8.48698626e-21	8.48698626e-21	0	0.846794683	0	-0.00211144402	0.000243069551	0.535603507	-0.380636988	0.462175162	0.321553044	0.128578867	0.109926499	23.000739
0.05	1	-1.20024111e-20	0.189702446	2.82842712	-8.48698626e-21	8.48698626e-21	0	0.8374128	0	-0.00326422229	0.000443649723	0.531915917	-0.589202235	0.640137919	0.330648454	0.0783453659	0.106170202	21.8129
0.06	1	-1.50030138e-20	0.189772407	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.821992228	0	-0.00461525221	0.000758247652	0.527692085	-0.91563533	0.833731793	0.339318692	0.133684141	0.11608945	22.312543
0.07	1	-1.50030138e-20	0.189825691	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.801335799	0	-0.00605411972	0.00119387672	0.523120565	-1.3135497	1.04984153	0.347147653	0.0759074552	0.115629132	22.878959
0.08	1	-1.80036166e-20	0.189866386	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.775602144	0	-0.00750071899	0.00175547762	0.518301601	-1.786738	1.29168844	0.352912247	0.0933703165	0.0904284885	22.009578
0.09	1	-2.10042194e-20	0.189897515	2.82842712	-1.4852226e-20	1.4852226e-20	0	0.745399177	0	-0.00910759549	0.00237632635	0.513657215	-2.16043993	1.55865591	0.356072946	0.129059393	0.116199687	21.49266
0.1	1	-1.50030138e-20	0.18992135	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.710865545	0	-0.0107863871	0.00310137457	0.508916784	-2.53347127	1.74401525	0.358495672	0.114430347	0.102943485	21.116527
0.11	1	-2.10042194e-20	0.189939609	2.82842712	-1.4852226e-20	1.4852226e-20	0	0.672871374	0	-0.0124451226	0.0038133469	0.504595561	-2.75814612	1.94218995	0.359741152	0.0814057937	0.0875756993	21.935379
0.12	1	-1.50030138e-20	0.189953602	2.82842712	-1.06087328e-20	1.06087328e-20	0	0.632002285	0	-0.0140215451	0.00452995954	0.500806164	-2.8885101	2.18114225	0.35949946	0.0701150094	0.116861022	20.861746
0.13	1	-1.80036166e-20	0.189964327	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.589430537	0	-0.0154493229	0.00516343465	0.497355868	-2.88093583	2.35618389	0.357632081	0.061010209	0.0930444471	23.379685
0.14	1	-1.80036166e-20	0.189972549	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.545396435	0	-0.0166246059	0.00575050922	0.494542717	-2.8092271	2.56025716	0.354132846	0.0465907572	0.0771803646	22.901307
0.15	1	-2.70054249e-20	0.189978852	2.82842712	-1.90957191e-20	1.90957191e-20	0	0.501566436	0	-0.0175108304	0.00633327544	0.492151168	-2.70961258	2.78076688	0.348611444	0.088374499	0.108541069	21.970259
0.16	1	-2.10042194e-20	0.189983684	2.82842712	-1.4852226e-20	1.4852226e-20	0	0.458192731	0	-0.0179834247	0.00692709549	0.489668761	-2.59998471	3.06401495	0.342484055	0.0775070798	0.0854793661	23.403057
0.17	1	-2.70054249e-20	0.189987389	2.82842712	-1.90957191e-20	1.90957191e-20	0	0.416603227	0	-0.0180711809	0.00740349825	0.487460182	-2.36058105	3.28642844	0.335842411	0.0528833897	0.0819045189	23.456222
0.18	1	-3.30066305e-20	0.189990229	2.82842712	-2.33392122e-20	2.33392122e-20	0	0.377327911	0	-0.0178068383	0.00772768025	0.485469762	-2.02678551	3.48254756	0.329600419	0.0665639271	0.0689317062	21.289898
0.19	1	-2.70054249e-20	0.189992407	2.82842712	-1.90957191e-20	1.90957191e-20	0	0.341079056	0	-0.0171179922	0.00787563384	0.483628567	-1.61928797	3.64547318	0.323887426	0.0697588549	0.0622549635	21.31813
0.2	1	-1.80036166e-20	0.189994076	2.82842712	-1.27304794e-20	1.27304794e-20	0	0.308756353	0	-0.0160493485	0.00779744546	0.481947129	-1.13739938	3.80387395	0.318201182	0.0618784828	0.0649327371	20.792043
0.21	1	-2.10042194e-20	0.189995356	2.82842712	-1.4852226e-20	1.4852226e-20	0	0.280188124	0	-0.0146687162	0.00759994703	0.479649104	-0.69435102	3.81622459	0.312782645	0.109362208	0.0784568547	22.026534
0.22	1	-6.60132609e-20	0.189996338	2.82842712	-4.66784244e-20	4.66784244e-20	0	0.254444969	0	-0.0130975747	0.00722470704	0.478042393	-0.230076109	3.91744112	0.309385516	0.0882615191	0.0935643312	21.645649
0.23	1	-6.90138637e-20	0.18999709	2.82842712	-4.8800171e-20	4.8800171e-20	0	0.230741326	0	-0.0113645417	0.00665967479	0.476784506	0.2673101	4.15957347	0.306832347	0.0836931914	0.0695536955	20.996047
0.24	1	-7.20144665e-20	0.189997667	2.82842712	-5.09219176e-20	5.09219176e-20	0	0.209231044	0	-0.00937485983	0.00597481483	0.476044013	0.649967035	4.43949177	0.30424138	0.074908005	0.0484318213	24.219448
0.25	1	-6.90138637e-20	0.189998109	2.82842712	-4.8800171e-20	4.8800171e-20	0	0.190062251	0	-0.00706997758	0.00520900649	0.475714077	0.921315712	4.72905712	0.301926187	0.063287285	0.0468278049	23.684086
0.26	1	-6.60132609e-20	0.189998448	2.82842712	-4.66784244e-20	4.66784244e-20	0	0.172498126	0	-0.00449994845	0.00437225538	0.475714163	1.10239624	5.05003671	0.300865181	0.0680908725	0.0709427537	22.626589
0.27	1	-5.40108498e-20	0.189998708	2.82842712	-3.81914382e-20	3.81914382e-20	0	0.156365927	0	-0.00172709361	0.00346662955	0.476170628	1.17627217	5.47201029	0.299771986	0.15504456	0.0461157035	21.240838
0.28	1	-5.70114526e-20	0.189998908	2.82842712	-4.03131847e-20	4.03131847e-20	0	0.141649332	0	0.00140539453	0.00249080075	0.477078659	1.1730924	5.94883746	0.299439533	0.112333991	0.0487758491	21.779971
0.29	1	-6.30126582e-20	0.189999061	2.82842712	-4.45566779e-20	4.45566779e-20	0	0.128788678	0	0.00486179331	0.0013538904	0.47774815	1.24997492	6.36853214	0.299004445	0.0758817685	0.0450031516	20.879235
0.3	1	-3.60072332e-20	0.189999178	2.82842712	-2.54609588e-20	2.54609588e-20	0	0.118657737	0	0.00874280807	0.000208952634	0.478540591	1.2062668	6.83238424	0.299566243	0.0937771896	0.0302841785	20.912164
0.31	1	-3.30066305e-20	0.189999268	2.82842712	-2.33392122e-20	2.33392122e-20	0	0.11134062	0	0.0129998887	-0.000983577315	0.479546597	1.12765753	7.27237944	0.300302582	0.0333272617	0.0422422714	22.102505
0.32	1	-2.40048222e-20	0.189999336	2.82842712	-1.69739725e-20	1.69739725e-20	0	0.107293964	0	0.0175761881	-0.0022170838	0.480776699	1.00310478	7.69048823	0.301169516	0.0407350323	0.029861039	21.711941
0.33	1	-2.70054249e-20	0.189999389	2.82842712	-1.90957191e-20	1.90957191e-20	0	0.107191086	0	0.0224771603	-0.00348880947	0.482030925	0.863491302	8.05517963	0.302367169	0.0708633604	0.0351766063	23.418964
0.34	1.00188188	0.00187245905	0.191872126	2.8257724	0.00265472214	6.66515034e-06	0.000938275096	0.105721919	0	0.0275445102	-0.00485590077	0.483015927	0.628466364	8.38548223	0.304205239	0.0768372367	0.0291361407	23.094638
0.35	1.00376377	0.0037449181	0.192763863	2.82311768	0.00530944427	1.33303007e-05	0.00187655	0.105132303	0	0.0327163721	-0.00623450118	0.484139087	0.390464144	8.63802584	0.305125328	0.0527580808	0.0224066945	20.05408
0.36	1.00861068	0.00743086775	0.191628965	2.81708416	0.0113430865	0.000834252509	0.0352211853	0.104250269	0	0.0380962299	-0.00755699901	0.485340758	0.0858335271	8.7871803	0.305215673	0.172671545	0.0231555476	22.631709
0.37	1.01489958	0.0113368163	0.189422481	2.80987632	0.0185519325	0.00251925318	0.147542493	0.103052961	0	0.0435160653	-0.00878051703	0.486274804	-0.294361261	8.82699306	0.304355224	0.111284536	0.0459907809	22.161897
0.38	1.01690448	0.0136118774	0.192149879	2.80684977	0.0215783245	0.00232822287	0.099915223	0.0986574666	0	0.0489507835	-0.00994975933	0.486566988	-0.565682744	8.81492834	0.303292955	0.126269317	0.0102648828	21.065898
0.39	1.02116914	0.0167612109	0.192485918	2.80160805	0.0268208063	0.00311687458	0.486435712	0.0963901002	0	0.0542437094	-0.0110706135	0.486421683	-0.818525987	8.80771226	0.303152602	0.150672044	0.02133339	21.558767
0.4	1.02611353	0.0200400007	0.192057159	2.79579495	0.0326354757	0.00429463488	0.809070668	0.0946360234	0	0.05941911	-0.0121714697	0.485881669	-0.989589277	8.83166412	0.303488721	0.101166902	0.0231049467	21.450377
0.41	1.03154615	0.0232533018	0.190323057	2.78968422	0.0387490653	0.00586393052	0.786065293	0.0953774786	0	0.0643819883	-0.0132851527	0.484987508	-1.08037019	8.83292088	0.304264992	0.147633154	0.0266115525	21.386086
0.42	1.03339213	0.0251249882	0.193028688	2.7870554	0.041377852	0.00584575296	0.682477157	0.0945292362	0	0.0691293254	-0.0144119885	0.483840523	-1.08015808	8.82095841	0.305727192	0.100478143	0.0612709869	21.828959
0.43	1.03704646	0.0274587376	0.194794302	2.78282332	0.0456120624	0.00677954322	0.932260057	0.0934652742	0	0.0736798702	-0.0156073009	0.482420113	-1.02834504	8.84357582	0.306950358	0.0907275374	0.0619859715	20.969487
0.44	1.04129292	0.0299123925	0.19506825	2.77808902	0.0503497596	0.00804724835	1.04759986	0.093162365	0	0.0780735461	-0.0168634445	0.480654129	-0.914684663	8.8828509	0.308143968	0.107269047	0.0251526712	22.035396
0.45	1.04553938	0.0323660475	0.194361198	2.77335531	0.0550874567	0.00931495347	1.17129873	0.0932937348	0	0.0822295045	-0.0180759264	0.478784942	-0.752613276	8.92186028	0.309091503	0.069432738	0.0231319626	21.373117
0.46	1.05063575	0.0345545711	0.196175953	2.76821183	0.060238652	0.011371109	0.62734273	0.0899813996	0	0.0860891484	-0.0192233545	0.476806834	-0.643906181	8.987592	0.309878938	0.0977861478	0.0360848923	23.225459
0.47	1.0576889	0.0375643536	0.197141947	2.76110957	0.0673542247	0.0142302064	0.869315446	0.0864237492	0	0.0896024666	-0.0203345971	0.474927081	-0.569677988	9.04829892	0.310083302	0.108541634	0.0505482455	21.630857
0.48	1.06539161	0.0410542366	0.197367927	2.75321233	0.0752685796	0.0172091214	1.16391002	0.0842206175	0	0.0928053551	-0.021353838	0.473297257	-0.559734494	9.11752378	0.310205008	0.14834238	0.0798016708	24.23044
0.49	1.07309431	0.0445441196	0.196612908	2.74531842	0.0831829344	0.0201880364	1.46565373	0.084571718	0	0.095881868	-0.0222683349	0.471773675	-0.619135352	9.13681662	0.310052493	0.142340074	0.0565220994	22.924976
0.5	1.08191378	0.0492003543	0.195028124	2.73581322	0.0927116954	0.023131887	1.59611021	0.0854808029	0	0.0987130253	-0.0230497718	0.470356366	-0.773831477	9.12053369	0.309752119	0.108128738	0.0348506717	21.233847
0.51	1.08865407	0.0531213439	0.196169486	2.72829246	0.100250355	0.0251254304	0.327966982	0.0878843859	0	0.101090603	-0.0237183676	0.469104387	-0.872711467	9.09657619	0.310426392	0.150913804	0.0292853115	20.973262
0.52	1.09723951	0.0578165749	0.195762097	2.71892882	0.109641212	0.027876228	2.14310638	0.0914129966	0	0.103225913	-0.0244082462	0.467209035	-0.968573893	9.12814234	0.311376877	0.0620046721	0.0298453531	23.618808
0.53	1.10617549	0.0641534316	0.195353683	2.70814941	0.120440737	0.0297140837	2.7083217	0.093431105	0	0.104798754	-0.0249362969	0.465777724	-1.07912807	9.12469085	0.311565223	0.0928441067	0.0654004524	21.773906
0.54	1.11267835	0.066496896	0.200390776	2.70192843	0.126696034	0.0326552222	1.95239326	0.0931452971	0	0.105953364	-0.0253353205	0.464637666	-1.1496221	9.09350757	0.310538109	0.0592494178	0.0105734453	22.991962
0.55	1.12216413	0.0715013334	0.203480354	2.69172336	0.13694216	0.0358240049	1.32967256	0.0924482825	0	0.106723822	-0.0255864408	0.46378461	-1.243351	9.02916607	0.309329046	0.0693075251	0.0271348009	21.576942
0.56	1.13245536	0.0773954359	0.205674701	2.68032299	0.148386918	0.0389332433	0.983054576	0.0925729471	0	0.107199422	-0.0257166084	0.463038069	-1.28923694	8.94735396	0.307598172	0.0793667277	0.0265224598	23.977128
0.57	1.14302432	0.083550604	0.206956637	2.66854585	0.160212668	0.0420542707	0.86923169	0.0943022675	0	0.107459014	-0.0257220432	0.462314202	-1.28255857	8.8464793	0.305596933	0.0533192031	0.0268993246	21.787647
0.58	1.15359329	0.089705772	0.207257573	2.65677281	0.172038418	0.0451752981	0.946660528	0.099963748	0	0.107590967	-0.0256129184	0.461469652	-1.20660212	8.76687526	0.304803163	0.0751190436	0.0326657382	23.265561
