time_s	best_cost
0.000000000000000000e+00	1.398628884962860611e+05
1.000000000000000021e-02	1.254876586295927846e+05
2.000000000000000042e-02	1.139178225561746222e+05
2.999999999999999889e-02	1.076041710528687108e+05
4.000000000000000083e-02	8.998935753730070428e+04
5.000000000000000278e-02	8.371793458747850673e+04
6.000000000000000472e-02	7.445760043834267708e+04
7.000000000000000666e-02	6.854785446761321509e+04
8.000000000000000167e-02	5.992909392814183957e+04
8.999999999999999667e-02	5.445420029817028262e+04
9.999999999999999167e-02	4.983658241214319423e+04
1.099999999999999867e-01	4.899512891611667146e+04
1.199999999999999817e-01	4.234308728355629137e+04
1.299999999999999767e-01	4.357301463324962242e+04
1.399999999999999856e-01	4.386433660023997072e+04
1.499999999999999944e-01	4.144416026647153922e+04
1.600000000000000033e-01	4.378974195890307601e+04
1.700000000000000122e-01	4.626799539386875404e+04
1.800000000000000211e-01	4.709375102784571936e+04
1.900000000000000300e-01	4.033774762376784929e+04
2.000000000000000389e-01	4.431320635142882384e+04
2.100000000000000477e-01	4.742220813108162838e+04
2.200000000000000566e-01	4.515908664738097286e+04
2.300000000000000655e-01	3.712174442095785344e+04
2.400000000000000744e-01	3.419440019608769944e+04
2.500000000000000555e-01	3.876001262036181288e+04
2.600000000000000644e-01	2.976476127850352350e+04
2.700000000000000733e-01	3.166095246578642400e+04
2.800000000000000822e-01	2.973120161264772105e+04
2.900000000000000910e-01	3.074922571205205168e+04
3.000000000000000999e-01	3.051202129415206582e+04
3.100000000000001088e-01	3.400544468898391642e+04
3.200000000000001177e-01	3.372844980927615688e+04
3.300000000000001266e-01	3.388511433745418617e+04
3.400000000000001354e-01	3.617712166320880351e+04
3.500000000000001443e-01	3.720016447877785686e+04
3.600000000000001532e-01	3.822107751328006998e+04
3.700000000000001621e-01	3.950273487155656039e+04
3.800000000000001710e-01	4.149516174801003945e+04
3.900000000000001799e-01	3.938103543808821996e+04
4.000000000000001887e-01	4.209668619429268438e+04
4.100000000000001976e-01	4.213476949018129380e+04
4.200000000000002065e-01	4.326422366674625664e+04
4.300000000000002154e-01	4.303557664310326072e+04
4.400000000000002243e-01	4.161123600693514163e+04
4.500000000000002331e-01	3.897796401599860837e+04
4.600000000000002420e-01	4.108546291245073371e+04
4.700000000000002509e-01	4.444311187056300696e+04
4.800000000000002598e-01	4.154547410730524280e+04
4.900000000000002687e-01	4.028147525512518041e+04
5.000000000000002220e-01	4.005717087993122550e+04
5.100000000000002309e-01	3.952529174824188522e+04
5.200000000000002398e-01	3.859527819944445946e+04
5.300000000000002487e-01	3.540691373189190926e+04
5.400000000000002576e-01	3.658757691357130534e+04
5.500000000000002665e-01	3.542467918467295385e+04
5.600000000000002753e-01	3.557777477014920441e+04
5.700000000000002842e-01	3.635862382174661616e+04
5.800000000000002931e-01	3.724936228663887596e+04
5.900000000000003020e-01	3.528254319213192503e+04
6.000000000000003109e-01	3.685875563547294587e+04
6.100000000000003197e-01	3.570309351459258323e+04
6.200000000000003286e-01	3.782476298350433353e+04
6.300000000000003375e-01	3.848140440653779660e+04
6.400000000000003464e-01	4.007357910746445123e+04
6.500000000000003553e-01	4.270496121226215473e+04
6.600000000000003642e-01	3.894975846132762672e+04
6.700000000000003730e-01	4.320959781887539430e+04
6.800000000000003819e-01	4.130005546827563376e+04
6.900000000000003908e-01	4.246367428877319617e+04
7.000000000000003997e-01	4.368697579318433418e+04
7.100000000000004086e-01	4.013179818317904574e+04
7.200000000000004174e-01	3.961028213906345627e+04
7.300000000000004263e-01	3.880453341024927067e+04
7.400000000000004352e-01	4.095792113406449789e+04
7.500000000000004441e-01	4.195916446630205610e+04
7.600000000000004530e-01	4.393397922768120770e+04
7.700000000000004619e-01	3.962698664197499602e+04
7.800000000000004707e-01	4.221193639787625580e+04
7.900000000000004796e-01	4.235223871036141645e+04
8.000000000000004885e-01	4.262855926504320087e+04
8.100000000000004974e-01	4.362300696975558822e+04
8.200000000000005063e-01	4.592005521410360234e+04
8.300000000000005151e-01	4.583978261950493470e+04
8.400000000000005240e-01	4.594656862364740664e+04
8.500000000000005329e-01	4.460750615691019630e+04
8.600000000000005418e-01	4.628113057694905001e+04
8.700000000000005507e-01	4.544351737332016637e+04
8.800000000000005596e-01	4.363152118025226810e+04
8.900000000000005684e-01	4.495237930300898006e+04
9.000000000000005773e-01	4.475257080134742137e+04
9.100000000000005862e-01	4.533371619461658702e+04
9.200000000000005951e-01	4.611065778884431347e+04
9.300000000000006040e-01	4.491822574093186995e+04
9.400000000000006128e-01	4.600300469077627349e+04
9.500000000000006217e-01	4.823998334097259794e+04
9.600000000000006306e-01	4.922266454874865303e+04
9.700000000000006395e-01	4.740559956707122183e+04
9.800000000000006484e-01	4.989591288597798848e+04
9.900000000000006573e-01	4.871215362916403683e+04
1.000000000000000666e+00	4.519772950940680312e+04
1.010000000000000675e+00	4.789245710288325063e+04
1.020000000000000684e+00	4.799398159942978236e+04
1.030000000000000693e+00	5.012097641153942095e+04
1.040000000000000702e+00	5.108208016818894248e+04
1.050000000000000711e+00	4.812372356834564562e+04
1.060000000000000719e+00	5.302117783360620524e+04
1.070000000000000728e+00	4.826934969866579922e+04
1.080000000000000737e+00	5.075867051473990432e+04
1.090000000000000746e+00	4.922877470423817431e+04
1.100000000000000755e+00	5.130879659808217548e+04
1.110000000000000764e+00	5.067589078921149485e+04
1.120000000000000773e+00	5.027550191059138160e+04
1.130000000000000782e+00	5.052113183565910731e+04
1.140000000000000790e+00	5.221740768366788689e+04
1.150000000000000799e+00	5.512744042459559569e+04
1.160000000000000808e+00	5.753503982482547872e+04
1.170000000000000817e+00	5.847148699156363728e+04
1.180000000000000826e+00	6.049958717960109789e+04
1.190000000000000835e+00	6.281201041113049723e+04
1.200000000000000844e+00	6.516950769846847106e+04
1.210000000000000853e+00	6.443194522758309904e+04
1.220000000000000862e+00	6.750555669344925263e+04
1.230000000000000870e+00	6.832448933061695425e+04
1.240000000000000879e+00	7.119906825057411334e+04
1.250000000000000888e+00	6.529775399901614583e+04
1.260000000000000897e+00	6.429141992273226060e+04
1.270000000000000906e+00	6.873123412220983300e+04
1.280000000000000915e+00	6.814146272139754728e+04
1.290000000000000924e+00	7.160828261758104782e+04
1.300000000000000933e+00	6.929991532308353635e+04
1.310000000000000941e+00	6.813236109533412673e+04
1.320000000000000950e+00	7.171040120712202042e+04
1.330000000000000959e+00	6.973349580821255222e+04
1.340000000000000968e+00	6.776713586439099163e+04
1.350000000000000977e+00	7.009366474892747647e+04
1.360000000000000986e+00	6.613418374719763233e+04
1.370000000000000995e+00	6.569718605841757380e+04
1.380000000000001004e+00	6.751453739865930402e+04
1.390000000000001013e+00	6.325430091540191643e+04
1.400000000000001021e+00	6.307955701631105330e+04
1.410000000000001030e+00	5.920313986073299748e+04
1.420000000000001039e+00	6.085992625877192768e+04
1.430000000000001048e+00	5.854455246014830482e+04
1.440000000000001057e+00	5.667755174630445254e+04
1.450000000000001066e+00	5.538220211385601579e+04
1.460000000000001075e+00	5.105497844997209177e+04
1.470000000000001084e+00	4.917019667219294934e+04
1.480000000000001092e+00	4.639359807225027907e+04
1.490000000000001101e+00	4.524786691430592327e+04
1.500000000000001110e+00	4.435866468275120133e+04
1.510000000000001119e+00	4.215969666547114321e+04
1.520000000000001128e+00	4.078944803215521097e+04
1.530000000000001137e+00	3.775701111114892410e+04
1.540000000000001146e+00	3.646084752575137099e+04
1.550000000000001155e+00	3.642710255025152583e+04
1.560000000000001164e+00	3.662838217226419511e+04
1.570000000000001172e+00	3.394832680251238344e+04
1.580000000000001181e+00	3.317571292716762400e+04
1.590000000000001190e+00	3.218031089666910702e+04
1.600000000000001199e+00	3.266344859587375686e+04
1.610000000000001208e+00	3.037547888234491984e+04
1.620000000000001217e+00	2.547335908039415153e+04
1.630000000000001226e+00	2.794950792511340842e+04
1.640000000000001235e+00	2.587440414663198681e+04
1.650000000000001243e+00	2.606577205407224756e+04
1.660000000000001252e+00	2.423670462345891065e+04
1.670000000000001261e+00	2.671814559227904829e+04
1.680000000000001270e+00	2.805312683173838013e+04
1.690000000000001279e+00	3.010029235596577200e+04
