time_s	best_cost
0.000000000000000000e+00	2.793903137294651970e+04
1.000000000000000021e-02	2.487679064069192827e+04
2.000000000000000042e-02	2.274616148911982964e+04
2.999999999999999889e-02	1.954828513273854333e+04
4.000000000000000083e-02	1.647153326846010896e+04
5.000000000000000278e-02	1.504157523749044049e+04
6.000000000000000472e-02	1.365902797562498017e+04
7.000000000000000666e-02	1.233053838900590563e+04
8.000000000000000167e-02	1.113038571537754251e+04
8.999999999999999667e-02	9.866227456219947271e+03
9.999999999999999167e-02	8.858127915283650509e+03
1.099999999999999867e-01	8.102863550700437372e+03
1.199999999999999817e-01	7.328356089323156084e+03
1.299999999999999767e-01	6.568710250844296752e+03
1.399999999999999856e-01	6.042996238348036968e+03
1.499999999999999944e-01	5.592468445396085372e+03
1.600000000000000033e-01	5.230772086682125519e+03
1.700000000000000122e-01	4.914208182902457338e+03
1.800000000000000211e-01	4.614434832385502887e+03
1.900000000000000300e-01	4.257128706680261530e+03
2.000000000000000389e-01	4.052493244904060248e+03
2.100000000000000477e-01	3.921548371458411111e+03
2.200000000000000566e-01	3.812338677519166140e+03
2.300000000000000655e-01	3.677444094735450562e+03
2.400000000000000744e-01	3.616128452047679275e+03
2.500000000000000555e-01	3.536582091314746322e+03
2.600000000000000644e-01	3.527629530827679901e+03
2.700000000000000733e-01	3.377995587405754122e+03
2.800000000000000822e-01	3.413675257645663805e+03
2.900000000000000910e-01	3.339986450168874399e+03
3.000000000000000999e-01	3.395083530696795606e+03
3.100000000000001088e-01	3.349960146684688880e+03
3.200000000000001177e-01	3.343327244325630545e+03
3.300000000000001266e-01	3.241269874038503531e+03
3.400000000000001354e-01	3.244611948212397238e+03
3.500000000000001443e-01	3.265977371324658634e+03
3.600000000000001532e-01	2.975763920068327025e+03
3.700000000000001621e-01	3.150956521322751996e+03
3.800000000000001710e-01	3.159700424228159136e+03
3.900000000000001799e-01	3.096913008081246517e+03
4.000000000000001887e-01	2.799689117794523554e+03
4.100000000000001976e-01	2.775333744455428132e+03
4.200000000000002065e-01	2.801439234155279337e+03
4.300000000000002154e-01	2.789238558326173006e+03
4.400000000000002243e-01	2.643426682148729469e+03
4.500000000000002331e-01	2.535793365573751544e+03
4.600000000000002420e-01	2.238060980790618942e+03
4.700000000000002509e-01	2.300722857177352125e+03
4.800000000000002598e-01	2.357660417194831098e+03
4.900000000000002687e-01	2.155267834308234342e+03
5.000000000000002220e-01	1.994781098970539006e+03
5.100000000000002309e-01	1.950352782449075221e+03
5.200000000000002398e-01	2.047523328403057121e+03
5.300000000000002487e-01	2.144823000662003324e+03
5.400000000000002576e-01	2.173307923523465433e+03
5.500000000000002665e-01	2.377076747561322918e+03
5.600000000000002753e-01	2.496001377449725169e+03
5.700000000000002842e-01	2.423519697282501511e+03
5.800000000000002931e-01	2.675904663724815236e+03
5.900000000000003020e-01	2.828704769290438435e+03
6.000000000000003109e-01	2.687565748806418014e+03
6.100000000000003197e-01	2.674754693883302934e+03
6.200000000000003286e-01	2.737940000334345314e+03
6.300000000000003375e-01	2.745898464595825317e+03
6.400000000000003464e-01	2.665851118759604560e+03
6.500000000000003553e-01	2.452489183900489934e+03
6.600000000000003642e-01	2.531814187877958375e+03
6.700000000000003730e-01	2.339962328875470121e+03
6.800000000000003819e-01	2.348121623824585186e+03
6.900000000000003908e-01	2.347914835174755353e+03
7.000000000000003997e-01	2.365153891261539229e+03
7.100000000000004086e-01	2.443605485708015294e+03
7.200000000000004174e-01	2.318499200431409918e+03
7.300000000000004263e-01	2.219702897233578369e+03
7.400000000000004352e-01	2.361659433160555182e+03
7.500000000000004441e-01	3.761745525546011777e+04
7.600000000000004530e-01	3.206352878455885730e+04
7.700000000000004619e-01	2.679986497306161618e+04
7.800000000000004707e-01	2.343601714734654161e+04
7.900000000000004796e-01	2.143881089333485943e+04
8.000000000000004885e-01	1.902906608104208863e+04
8.100000000000004974e-01	1.705181617670647029e+04
8.200000000000005063e-01	1.575539580440248756e+04
8.300000000000005151e-01	1.421604733919672071e+04
8.400000000000005240e-01	1.281211176711127519e+04
8.500000000000005329e-01	1.147071694849454070e+04
8.600000000000005418e-01	1.061170280353699127e+04
8.700000000000005507e-01	9.593403410237795470e+03
8.800000000000005596e-01	8.907153299395189606e+03
8.900000000000005684e-01	8.097270140722352153e+03
9.000000000000005773e-01	7.544437026116444940e+03
9.100000000000005862e-01	7.197443482932097140e+03
9.200000000000005951e-01	6.630092108940934850e+03
9.300000000000006040e-01	6.096467655259742060e+03
9.400000000000006128e-01	5.745463650272940868e+03
9.500000000000006217e-01	5.817121737156159725e+03
9.600000000000006306e-01	5.728110854870044932e+03
9.700000000000006395e-01	5.776569144824661635e+03
9.800000000000006484e-01	5.318352382486287752e+03
9.900000000000006573e-01	5.184232351657218715e+03
1.000000000000000666e+00	5.425322854412326706e+03
1.010000000000000675e+00	5.595830324201127951e+03
1.020000000000000684e+00	5.271221937861025253e+03
1.030000000000000693e+00	5.077269929910053179e+03
1.040000000000000702e+00	4.901157330796311726e+03
1.050000000000000711e+00	4.967682795787440227e+03
1.060000000000000719e+00	4.966889095875192652e+03
1.070000000000000728e+00	5.026558100578238736e+03
1.080000000000000737e+00	4.940240305989881563e+03
1.090000000000000746e+00	5.257018848066588362e+03
1.100000000000000755e+00	5.801438395498967111e+03
1.110000000000000764e+00	5.939102623804636096e+03
1.120000000000000773e+00	6.197771499052143554e+03
1.130000000000000782e+00	5.570833979181599716e+03
1.140000000000000790e+00	5.545049469268702524e+03
1.150000000000000799e+00	5.810943303344825836e+03
1.160000000000000808e+00	5.659091176599729806e+03
1.170000000000000817e+00	5.557780636075916846e+03
1.180000000000000826e+00	5.680415468186258295e+03
1.190000000000000835e+00	5.876694913850152261e+03
1.200000000000000844e+00	5.382578981174913679e+03
1.210000000000000853e+00	5.327545895856434981e+03
1.220000000000000862e+00	4.535035615512528238e+03
1.230000000000000870e+00	4.209732605192650226e+03
1.240000000000000879e+00	4.020435733121451449e+03
1.250000000000000888e+00	3.871468598029690838e+03
1.260000000000000897e+00	3.950695717656525176e+03
1.270000000000000906e+00	3.987917324945849941e+03
1.280000000000000915e+00	4.280928583678744872e+03
1.290000000000000924e+00	3.825235673492408296e+03
1.300000000000000933e+00	3.801784152236898990e+03
1.310000000000000941e+00	3.748578510878362067e+03
1.320000000000000950e+00	3.730261392678935863e+03
1.330000000000000959e+00	3.828785475146826684e+03
1.340000000000000968e+00	3.788689758389628423e+03
1.350000000000000977e+00	3.767541658339394417e+03
1.360000000000000986e+00	4.205324389818526470e+03
1.370000000000000995e+00	4.250202744002751388e+03
1.380000000000001004e+00	4.329107588643656527e+03
1.390000000000001013e+00	4.042369973233152450e+03
1.400000000000001021e+00	4.254204677781860482e+03
1.410000000000001030e+00	3.951648699912241682e+03
1.420000000000001039e+00	4.020024844341258358e+03
1.430000000000001048e+00	4.260826127618372993e+03
1.440000000000001057e+00	4.108624981190057952e+03
1.450000000000001066e+00	4.183242761803665417e+03
1.460000000000001075e+00	4.622800747310094266e+03
1.470000000000001084e+00	4.024208669520224248e+03
1.480000000000001092e+00	3.932949681640332074e+03
1.490000000000001101e+00	4.121231185173708582e+03
1.500000000000001110e+00	3.911797666715781816e+03
1.510000000000001119e+00	3.847415228018977359e+03
1.520000000000001128e+00	3.783624483195929315e+03
1.530000000000001137e+00	3.742332263497941767e+03
1.540000000000001146e+00	3.754092963831062207e+03
1.550000000000001155e+00	3.758786712411376357e+03
1.560000000000001164e+00	3.669219951440545174e+03
1.570000000000001172e+00	3.278250412617036545e+03
1.580000000000001181e+00	3.206852041175145132e+03
1.590000000000001190e+00	3.194583829118743779e+03
1.600000000000001199e+00	3.428659937828139846e+03
1.610000000000001208e+00	3.532902473414789256e+03
1.620000000000001217e+00	3.573632943208874622e+03
1.630000000000001226e+00	3.927384213487772740e+03
1.640000000000001235e+00	4.073781084466921584e+03
1.650000000000001243e+00	4.062312699799432266e+03
1.660000000000001252e+00	3.891860073682894836e+03
1.670000000000001261e+00	4.064761022090531696e+03
1.680000000000001270e+00	3.810999421107596390e+03
1.690000000000001279e+00	3.980445087674392198e+03
1.700000000000001288e+00	4.285312333279414815e+03
1.710000000000001297e+00	4.549213185127032375e+03
1.720000000000001306e+00	4.569185610028260271e+03
1.730000000000001315e+00	4.485718285689077675e+03
1.740000000000001323e+00	6.306041963520119680e+03
1.750000000000001332e+00	6.424003317644287563e+03
1.760000000000001341e+00	6.122966405278279126e+03
1.770000000000001350e+00	5.941637362263216346e+03
1.780000000000001359e+00	5.350327531057788292e+03
1.790000000000001368e+00	4.923340800413907346e+03
1.800000000000001377e+00	4.793572488154793064e+03
1.810000000000001386e+00	4.673922356253071484e+03
1.820000000000001394e+00	4.453637936379211169e+03
1.830000000000001403e+00	4.286928781154486387e+03
1.840000000000001412e+00	4.312133547826915674e+03
1.850000000000001421e+00	4.262266409366499829e+03
1.860000000000001430e+00	4.156544868814739857e+03
1.870000000000001439e+00	4.137682923324218791e+03
1.880000000000001448e+00	4.016144801312829259e+03
1.890000000000001457e+00	4.002095697777122041e+03
1.900000000000001465e+00	3.944718853739891074e+03
1.910000000000001474e+00	3.882216436379948391e+03
1.920000000000001483e+00	5.073666829790561678e+03
1.930000000000001492e+00	4.962609372123280082e+03
1.940000000000001501e+00	5.071444243305341843e+03
1.950000000000001510e+00	4.683249252489255014e+03
1.960000000000001519e+00	4.543162553549392214e+03
1.970000000000001528e+00	4.415842274926493701e+03
1.980000000000001537e+00	4.357584992627808788e+03
1.990000000000001545e+00	4.138007265630745678e+03
2.000000000000001332e+00	3.963629823304690035e+03
2.010000000000001119e+00	3.872517952730476281e+03
2.020000000000000906e+00	3.928598583518021769e+03
2.030000000000000693e+00	4.174808989220819058e+03
2.040000000000000480e+00	4.400279349844290664e+03
2.050000000000000266e+00	4.301686075531542883e+03
2.060000000000000053e+00	4.417194357961652713e+03
2.069999999999999840e+00	4.560132983163988683e+03
2.079999999999999627e+00	4.893744788547000098e+03
2.089999999999999414e+00	4.510401679078660891e+03
2.099999999999999201e+00	4.590663852247836985e+03
2.109999999999998987e+00	5.002405624229939349e+03
2.119999999999998774e+00	4.833771992520258209e+03
2.129999999999998561e+00	4.498617553852502169e+03
2.139999999999998348e+00	4.533415645177907209e+03
2.149999999999998135e+00	4.520293395835661613e+03
2.159999999999997922e+00	4.757525984210260503e+03
2.169999999999997708e+00	4.981137044081067870e+03
2.179999999999997495e+00	5.131711164224219829e+03
2.189999999999997282e+00	5.404058299744722717e+03
2.199999999999997069e+00	5.306643641956642568e+03
2.209999999999996856e+00	5.148037487568015422e+03
2.219999999999996643e+00	5.131600966883461297e+03
2.229999999999996430e+00	5.245413782014041317e+03
2.239999999999996216e+00	5.341475534357623474e+03
2.249999999999996003e+00	5.695046165972321432e+03
2.259999999999995790e+00	4.982076537701826965e+03
2.269999999999995577e+00	5.254920840645707358e+03
2.279999999999995364e+00	5.691000499439564919e+03
2.289999999999995151e+00	5.987057632183124952e+03
2.299999999999994937e+00	5.238778087216312997e+03
2.309999999999994724e+00	5.018761994922251688e+03
2.319999999999994511e+00	4.764060437430802267e+03
2.329999999999994298e+00	4.869366904441272709e+03
2.339999999999994085e+00	4.651682260150081675e+03
2.349999999999993872e+00	4.821423043408475678e+03
2.359999999999993658e+00	4.697379977133055945e+03
2.369999999999993445e+00	4.755668169226774808e+03
2.379999999999993232e+00	4.681353424737949354e+03
2.389999999999993019e+00	4.695707503877656563e+03
2.399999999999992806e+00	4.171930383396570505e+03
2.409999999999992593e+00	3.955702548303362619e+03
